logical_source_id	original_relative_path	original_sha256	destination_path	classification	exact_match_required
canonical_00_config	outputs/SIC_reanalysis_2026-07-11/code/00_config.R	cc80be0829115af204adb352e409a1b0b887f4731b83343d9b474e81645e2e39	outputs/SIC_reanalysis_2026-07-11/code/00_config.R	sanitized_config_derivative	FALSE
canonical_00b_gene_map	outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	e71d42a29047ed705587df870ddf3d5f79a4dba567522102c42555231f416240	outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	exact_frozen_code	TRUE
canonical_01_rna	outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	5124e93f865411e7a1e7544f95ee7ad3db51466cc554a4ad2ceeecab0ed6a505	outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	exact_frozen_code	TRUE
canonical_01b_rna_gsea	outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	480fd22b20c2cc2636498a16797ecac627d9cb2d9a2029d27bad65fdba8deb12	outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	exact_frozen_code	TRUE
canonical_02_protein	outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	705fff777ca4a66f73a407399fb0fbf93bceb3027493bc3e3133a68bd139a7aa	outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	exact_frozen_code	TRUE
canonical_02b_protein_gsea	outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	ff12feab98b830754ab56bd4db61390646e8a84a3ea1d03fa3cc3474fb3bed8f	outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	exact_frozen_code	TRUE
canonical_03_crossomics	outputs/SIC_reanalysis_2026-07-11/code/03_run_patient_scores_crossomics.R	1819529dac2ff6a06a9880a96c70e89455ef6e206b4e0fef2427653849cab05d	outputs/SIC_reanalysis_2026-07-11/code/03_run_patient_scores_crossomics.R	exact_frozen_code	TRUE
canonical_04_figures	outputs/SIC_reanalysis_2026-07-11/code/04_make_figures_tables.R	b4dfab54ea3d17052c85da801006f883d48c99c9bc96f9ac1eb8bce1f53a0fa9	outputs/SIC_reanalysis_2026-07-11/code/04_make_figures_tables.R	exact_frozen_code	TRUE
canonical_05_compare	outputs/SIC_reanalysis_2026-07-11/code/05_compare_historical_and_summarize.R	b7856e260f9d52bfdd01466bb3a0533ca50369147b6d144fe5e227f89c3f70f1	outputs/SIC_reanalysis_2026-07-11/code/05_compare_historical_and_summarize.R	exact_frozen_code	TRUE
canonical_06_rna_robustness	outputs/SIC_reanalysis_2026-07-11/code/06_build_RNA_normalization_robustness.R	ded0b18b3ff673e861a959830a3fd29244162033bb6859ff4c5f2208ddb89e58	outputs/SIC_reanalysis_2026-07-11/code/06_build_RNA_normalization_robustness.R	exact_frozen_code	TRUE
canonical_07_manifest	outputs/SIC_reanalysis_2026-07-11/code/07_freeze_manifest.R	adba78a4d7ac5f276a944af75de3cf0d075240946c45c1c0c8c4ab40da0bd8fb	outputs/SIC_reanalysis_2026-07-11/code/07_freeze_manifest.R	exact_frozen_code	TRUE
canonical_08_validate	outputs/SIC_reanalysis_2026-07-11/code/08_validate_final_outputs.R	5d674b00ff59b58db5bc36ca5c68b57e763a2cab7901a1f47a68be2c1d35bd3a	outputs/SIC_reanalysis_2026-07-11/code/08_validate_final_outputs.R	exact_frozen_code	TRUE
canonical_09_clinical	outputs/SIC_reanalysis_2026-07-11/code/09_build_clinical_tables.R	7f9618ce40598da8a6404c86c64ccd6e40ddb7adb7ead09eae23b77f75023463	outputs/SIC_reanalysis_2026-07-11/code/09_build_clinical_tables.R	exact_frozen_code	TRUE
canonical_10_ipw	outputs/SIC_reanalysis_2026-07-11/code/10_run_availability_IPW_sensitivity.R	132c4370b965177b34b375370e407167178abefd28e9ea633f052f37fffb8887	outputs/SIC_reanalysis_2026-07-11/code/10_run_availability_IPW_sensitivity.R	exact_frozen_code	TRUE
canonical_10a_ipw_helpers	outputs/SIC_reanalysis_2026-07-11/code/10a_availability_ipw_helpers.R	ee786e2f0ee1c479ebfed7366e8308858f2437b899dbfdd28a31a7854b04c6a9	outputs/SIC_reanalysis_2026-07-11/code/10a_availability_ipw_helpers.R	exact_frozen_code	TRUE
canonical_run_all	outputs/SIC_reanalysis_2026-07-11/code/run_all.R	3400908c0e3cda31377b95ff10527660f5b83e988a3372d2d9c83ccb58927b97	outputs/SIC_reanalysis_2026-07-11/code/run_all.R	exact_frozen_code	TRUE
canonical_ipw_test	outputs/SIC_reanalysis_2026-07-11/tests/test_10_availability_ipw.R	065e2000bd108d87efe011a3051c6671f843a5a50b2ba8412e2c916e87a68ffa	outputs/SIC_reanalysis_2026-07-11/tests/test_10_availability_ipw.R	exact_frozen_test	TRUE
