relative_path	class	max_abs_numeric_diff	structure_equal	nonnumeric_equal	is_generated_metadata
00_audit/official_gene_map_summary.csv	exact	0	TRUE	TRUE	FALSE
00_audit/Protein_newQC_vs_previous_feature_rank_comparison.csv	exact	0	TRUE	TRUE	FALSE
00_audit/Protein_newQC_vs_previous_pathway_comparison.csv	exact	0	TRUE	TRUE	FALSE
00_audit/Protein_primary_top_Hallmark.csv	exact	0	TRUE	TRUE	FALSE
00_audit/RNA_Hallmark_normalization_PH_robustness.csv	exact	0	TRUE	TRUE	FALSE
00_audit/RNA_Hallmark_normalization_PH_robustness_counts.csv	exact	0	TRUE	TRUE	FALSE
00_audit/RNA_primary_top_Hallmark.csv	exact	0	TRUE	TRUE	FALSE
00_audit/RNA_TMM_vs_previous_feature_rank_comparison.csv	exact	0	TRUE	TRUE	FALSE
00_audit/RNA_TMM_vs_previous_pathway_comparison.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/00_RNA_filtering_summary.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/00_RNA_TMM_normalization_factors.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/01_D1_TMM_center_stratified_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/01_D3_TMM_center_stratified_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/01_D5_TMM_center_stratified_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/02_all_RNA_TMM_center_stratified_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/03_RNA_TMM_Hallmark_primary_PHpass.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/04_RNA_TMM_Hallmark_leading_edge_long.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/05_RNA_TMM_Cox_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
01_RNA_TMM/05_RNA_TMM_GSEA_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/00_Protein_QC_duplicate_resolution_audit.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/00_Protein_sample_QC.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/00_Protein_selected_features.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D1_center_primary_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D1_median_center_sensitivity_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D3_center_primary_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D3_median_center_sensitivity_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D5_center_primary_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/01_D5_median_center_sensitivity_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/02_all_Protein_models_cox_zph.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/03_Protein_Hallmark_all_models.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/04_Protein_Hallmark_leading_edge_long.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/05_Protein_GSEA_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
02_Protein/05_Protein_model_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/01_RNA_patient_core_pathway_rank_scores.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/02_Protein_patient_core_pathway_rank_scores.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/03_Protein_sample_global_intensity.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/04_same_time_RNA_Protein_partial_spearman.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/05_forward_cross_lag_HC3.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/06_reverse_cross_lag_HC3.csv	exact	0	TRUE	TRUE	FALSE
03_CrossOmics/07_core_pathway_feature_coverage.csv	exact	0	TRUE	TRUE	FALSE
04_Figures_Tables/SourceData_Figure2_RNA_core_NES.csv	exact	0	TRUE	TRUE	FALSE
04_Figures_Tables/SourceData_Figure3_Protein_core_NES.csv	exact	0	TRUE	TRUE	FALSE
04_Figures_Tables/SourceData_Figure4_forward.csv	exact	0	TRUE	TRUE	FALSE
04_Figures_Tables/SourceData_Figure4_reverse.csv	exact	0	TRUE	TRUE	FALSE
04_Figures_Tables/SourceData_Figure4_same_time.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_analysis_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_drop5_event_time_sensitivity.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_excluded_missing_variables.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_infection_source_mapping.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_outcome_time_provenance_audit.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_sparse_event_audit.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_univariable_Cox.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Clinical_variable_dictionary.csv	exact	0	TRUE	TRUE	FALSE
05_Clinical_Tables/Table1_baseline_characteristics.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/00_entry_riskset_counts.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/01_centre_positivity_audit.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/02_survival_time_origin_and_60day_audit.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/03_availability_covariate_missingness.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/04_D5_Protein_descriptive_availability_and_nesting.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/05_availability_prefit_rank_separation.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/06_availability_factor_zero_cells.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/07_availability_model_coefficients.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/08_weight_diagnostics.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/09_weight_balance_SMD.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/10_frozen_transform_constants.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry3.75_SOFA_D3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry4.25_SOFA_D3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry4_PF_PLT_D3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry4_PF_PLT_noD3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry4_SOFA_D3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/11_Cox_entry4_SOFA_noD3.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry3.75_SOFA_D3_all_valid.csv	numeric_equivalent	1.02140518265514e-14	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4.25_SOFA_D3_all_valid.csv	numeric_equivalent	9.99200722162641e-15	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4_PF_PLT_D3_all_valid.csv	numeric_equivalent	9.99200722162641e-16	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4_PF_PLT_noD3_all_valid.csv	numeric_equivalent	9.99200722162641e-15	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4_SOFA_D3_all_valid.csv	numeric_equivalent	9.99200722162641e-15	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4_SOFA_D3_PH_pass.csv	numeric_equivalent	9.99200722162641e-15	TRUE	TRUE	FALSE
06_Availability_IPW_final/12_GSEA_entry4_SOFA_noD3_all_valid.csv	numeric_equivalent	9.99200722162641e-15	TRUE	TRUE	FALSE
06_Availability_IPW_final/13_Cox_convergence_finite_PH_summary.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/14_all_weighted_Hallmark_results.csv	numeric_equivalent	1.02140518265514e-14	TRUE	TRUE	FALSE
06_Availability_IPW_final/15_all_weighted_Hallmark_leading_edges.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/16_all_Hallmark_unweighted_vs_IPW.csv	numeric_equivalent	1.02140518265514e-14	TRUE	TRUE	FALSE
06_Availability_IPW_final/17_all_Hallmark_comparison_metrics.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/18_final_QA.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/02b_D5_RNA_boundary_conflicts_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_entry4_PF_PLT_D3_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_entry4_PF_PLT_noD3_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_entry4_SOFA_D3_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_entry4_SOFA_noD3_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_lower_SOFA_D3_controlled.csv	exact	0	TRUE	TRUE	FALSE
06_Availability_IPW_final/controlled_participant_level/weights_upper_SOFA_D3_controlled.csv	exact	0	TRUE	TRUE	FALSE
FILE_MANIFEST_SHA256.csv	different		FALSE	FALSE	TRUE
FINAL_QA_SUMMARY.csv	different	0	TRUE	FALSE	TRUE
