metric	value	criterion	status	evidence
formal_QA_checks	65	65	PASS	authorised rerun
formal_QA_passed	65	65	PASS	authorised rerun
common_CSV_tables	93	reported	PASS	authorised rerun
exact_CSV_tables	82	reported	PASS	authorised rerun
numeric_equivalent_CSV_tables	9	reported	PASS	authorised rerun
core_result_different_CSV_tables	0	0	PASS	authorised rerun
maximum_numeric_difference_among_equivalent_tables	1.021405182655144e-14	<=1e-12	PASS	authorised rerun
RNA_D1_riskset	504/84	matches frozen QA	PASS	authorised rerun
RNA_D3_riskset	420/67	matches frozen QA	PASS	authorised rerun
RNA_D5_riskset	320/53	matches frozen QA	PASS	authorised rerun
Protein_D1_riskset	168/27	matches frozen QA	PASS	authorised rerun
Protein_D3_riskset	147/18	matches frozen QA	PASS	authorised rerun
Protein_D5_riskset	114/14	matches frozen QA	PASS	authorised rerun
RNA_D1_all_fits	14541	matches frozen QA	PASS	authorised rerun
RNA_D3_all_fits	14541	matches frozen QA	PASS	authorised rerun
RNA_D5_all_fits	14541	matches frozen QA	PASS	authorised rerun
Protein_D1_all_fits	3875	matches frozen QA	PASS	authorised rerun
Protein_D3_all_fits	3875	matches frozen QA	PASS	authorised rerun
Protein_D5_all_fits	3875	matches frozen QA	PASS	authorised rerun
Clinical_patients	504	matches frozen QA	PASS	authorised rerun
Clinical_deaths	84	matches frozen QA	PASS	authorised rerun
Forward_IFN_FDR_count	3	matches frozen QA	PASS	authorised rerun
Reverse_FDR_count	0	matches frozen QA	PASS	authorised rerun
Availability_primary_estimand_counts	504/13/487/320/53	matches frozen QA	PASS	authorised rerun
original_frozen_files_unchanged	201/201	201/201	PASS	pre/post SHA256 audit
