file	sha256
.gitignore	d70da00febcbf41886759ffe28d17b9ef5dd47cbb824736c21ab2595a6e31518
CHANGELOG.md	5c912f8bc6e447d7982703c84954293b3d352dbed0f749e157e4bc7ff7376c20
CITATION.cff	ab429029ff2e8e439e6ebecf042edb4a93d7e2fdbcb517a8f7a53f964f661647
CODE_CHAIN.tsv	eb2df74af7255fac419b42d1cf63028ef4f6938c724e3b4486e34a1fcf89abbf
DATA_ACCESS.md	b70581236f4af9949ffc88da3167bfaddc434f54985fe2a69e6c25e187c91f29
LICENSE	86cbcf18085b5915b076581cf9bc6bac46a47f7ebb6aeb4f2fcc00fe4139ffcd
LICENSE-CONTENT.md	4633a5ee4d69afbbdf5eed542d88047b1a1d156f51415853eafed993c9b6f424
LICENSE_SCOPE.md	cd6d7c6a9252f787c26ec037f19cea02834d5f5b3463873468c688eb719e0759
README.md	528f54f2ca89453ee44e24687451c9710c653d739530ac5bbb0d577590af30ef
REPRODUCIBILITY.md	d99486797f3d06944914086a7d6b59ebcbfdfb71f4d8d88b8fe271f91fb61832
THIRD_PARTY_NOTICES.md	09a054c0abf82716cb8e77b437a68dbef78e6a1947dd008c515cb618c87ae083
analysis/build_clinical_annotation.R	eb678ab33463d489fabda2961f7a9571ce1e6d58d9b69abad080fb4329d30c99
analysis/build_clinical_workbook.R	d7fd4c420fbf0bbed808ae149eab455313ffe2f2bdc4540cab11d2e0729499f5
analysis/check_inputs.R	b3f986381333409868cc1e29a2543233f5554155059fba470ce9956c24855584
analysis/prepare_clinical_descriptive.R	f38c61445010927d852cba4249fe8654c42164739a00c8781dca97d3c824f74e
analysis/run_authorized.R	87c80691531517f2e0c8b2ac7b075d144c4a4be89d38c6c84f5de1c94eec9fdb
analysis/run_current_tables.py	0a75b99151533687c4f50dfd286a70582c686faa29e4e459aa618b176a1114ec
analysis/test_input_contract.R	3dfde74a9dba8f5bf86c41faf98b5e44e18241e6c74b8462f99381ef286a6c7c
analysis/validate_inputs.R	1751e7340e4179beff26000ee2379316ac6a21b3bd50163ebaeb78b1fe347c82
analysis/validate_revision_inputs.R	e4e3cbd723005d0dfaf94174ecd645d084a7f2e59f37a7ca266d1b5e1e28bf84
config/INPUT_FIELDS.md	5313f186cd5cf883922f98cf9ce9f361b61288a5c8172b689912dbad1c752157
config/cv_input_paths.example.json	c23c656c388be077ffe1646b3d0437743886f683e5a9daa2b4ed1e32e99582a1
docs/CONTROLLED_INPUT_ROUTES.md	2a75bac32f4b71214e5242ea5db2e6175e2ff21511dad9de3eb66d6b952f3209
docs/INPUT_CONTRACT.md	acd32899a34f2bab67518f1ce8958ce4a92f09d289abbbc8231a7780571de639
docs/historical_primary/ANALYSIS_WORKFLOW.md	b49ad5fcc8ae7e682886f88427b8c40e936a4aeda3bdf7a7fbd354486d3bc500
docs/historical_primary/DATA_ACCESS.md	8170aa3e64edd581c0977c1b581a7c25c5e6a4ddecf00d942416fffd4206ccf5
docs/historical_primary/DATA_DICTIONARY.md	b20135c4af1992853737f13807b8a2d4ffd0eb835f39b10805cad3ef3dc72582
docs/historical_primary/MODEL_SPECIFICATIONS.md	fb7781c21787013a9d8149bee638b0c09fc98c364fc2a3e7ea47aba58b79f7e3
docs/historical_primary/SOFTWARE_ENVIRONMENT.md	ea2e0e423b5228443767c0b962937d641016194274ff8664d43532384e305a81
environment/CODE_PACKAGE_REQUIREMENTS.tsv	845747b33e74211a2beb0fa24af53c0988eeb4b730760f03570a3d57becc246c
environment/clinical_annotation_sessionInfo.txt	bb539d78ec6b1acb0fc9a0a39043a784ab42f7a536e544242ba455bebc99a914
environment/cv/package_versions.tsv	83133c44160f1dcb227946680a70eeb1f7b99a3e9d79125a14cd677560bc8cc3
