file	package
analysis/build_clinical_workbook.R	utils
analysis/build_clinical_workbook.R	openxlsx
outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	data.table
outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	stringr
outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	AnnotationDbi
outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	org.Hs.eg.db
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	data.table
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	dplyr
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	stringr
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	tibble
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	fgsea
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	tidyr
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	data.table
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	dplyr
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	stringr
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	tibble
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	survival
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	edgeR
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	fgsea
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	future
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	future.apply
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	parallel
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	tidyr
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	data.table
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	dplyr
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	stringr
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	tibble
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	fgsea
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	tidyr
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	readxl
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	data.table
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	dplyr
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	stringr
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	tibble
