"package"	"installed"	"version"
"AnnotationDbi"	TRUE	"1.68.0"
"data.table"	TRUE	"1.17.8"
"detectseparation"	TRUE	"0.4.0"
"digest"	TRUE	"0.6.39"
"dplyr"	TRUE	"1.2.1"
"edgeR"	TRUE	"4.4.2"
"fgsea"	TRUE	"1.32.4"
"future"	TRUE	"1.67.0"
"future.apply"	TRUE	"1.20.0"
"ggplot2"	TRUE	"4.0.1"
"ggrepel"	TRUE	"0.9.6"
"grDevices"	TRUE	"4.4.2"
"grid"	TRUE	"4.4.2"
"jsonlite"	TRUE	"2.0.0"
"lmtest"	TRUE	"0.9-40"
"magick"	TRUE	"2.9.0"
"openxlsx"	TRUE	"4.2.8"
"org.Hs.eg.db"	TRUE	"3.20.0"
"parallel"	TRUE	"4.4.2"
"patchwork"	TRUE	"1.3.2"
"pdftools"	TRUE	"3.8.0"
"png"	TRUE	"0.1-8"
"purrr"	TRUE	"1.0.2"
"qpdf"	TRUE	"1.4.1"
"ragg"	TRUE	"1.3.3"
"readxl"	TRUE	"1.4.3"
"rsvg"	TRUE	"2.7.0"
"sandwich"	TRUE	"3.1-1"
"splines"	TRUE	"4.4.2"
"stats"	TRUE	"4.4.2"
"stringr"	TRUE	"1.6.0"
"survival"	TRUE	"3.7-0"
"svglite"	TRUE	"2.2.2"
"testthat"	TRUE	"3.3.2"
"tibble"	TRUE	"3.2.1"
"tidyr"	TRUE	"1.3.1"
"tools"	TRUE	"4.4.2"
"utils"	TRUE	"4.4.2"
