figure	files	R_script	inputs	prior_output_stem	width_inches	height_inches	panel_structure
Figure1_study_design_risksets_availability	figures\Figure1_study_design_risksets_availability.pdf | figures\Figure1_study_design_risksets_availability.svg | figures\Figure1_study_design_risksets_availability.tiff | figures\Figure1_study_design_risksets_availability.png	R/01_Figure1_A1.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Figure1_centre_classes.tsv | data/figure_source_data/SourceData_Figure1_D5_availability.tsv | data/figure_source_data/SourceData_Figure1_exclusions.tsv | data/figure_source_data/SourceData_Figure1_samples.tsv	Figure1_study_design_risksets_availability	5.768055555555556	5.832638888888889	a/b/c/d/e
Figure2_RNA_core_NES	figures\Figure2_RNA_core_NES.pdf | figures\Figure2_RNA_core_NES.svg | figures\Figure2_RNA_core_NES.tiff | figures\Figure2_RNA_core_NES.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Figure2_RNA.tsv	Figure2_RNA_core_NES	5.768055555555556	4.161111111111111	all existing panels retained
Figure3_Protein_core_NES	figures\Figure3_Protein_core_NES.pdf | figures\Figure3_Protein_core_NES.svg | figures\Figure3_Protein_core_NES.tiff | figures\Figure3_Protein_core_NES.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Figure3_Protein.tsv	Figure3_Protein_core_NES	5.768055555555556	3.5305555555555554	all existing panels retained
Figure4_CrossOmics_integrated_A_to_F	figures\Figure4_CrossOmics_integrated_A_to_F.pdf | figures\Figure4_CrossOmics_integrated_A_to_F.svg | figures\Figure4_CrossOmics_integrated_A_to_F.tiff | figures\Figure4_CrossOmics_integrated_A_to_F.png	R/03_Figure4.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Figure4A_same_time.tsv | data/figure_source_data/SourceData_Figure4B_forward_D1_D3.tsv | data/figure_source_data/SourceData_Figure4C_forward_D3_D5.tsv | data/figure_source_data/SourceData_Figure4D_reverse.tsv | data/figure_source_data/SourceData_Figure4E_OXPHOS_attenuation.tsv | data/figure_source_data/SourceData_Figure4F_IFN_effects.tsv	Figure4_CrossOmics_integrated_A_to_F	5.768055555555556	7.638194444444444	a/d, b/c, e/f
Supplementary_Figure_S1_centre_positivity	figures\Supplementary_Figure_S1_centre_positivity.pdf | figures\Supplementary_Figure_S1_centre_positivity.svg | figures\Supplementary_Figure_S1_centre_positivity.tiff | figures\Supplementary_Figure_S1_centre_positivity.png	R/01_Figure1_A1.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A1.tsv	Supplementary_Figure_A1_centre_positivity	5.768055555555556	3.3097222222222222	all existing panels retained
Supplementary_Figure_S2_probability_weight_distributions	figures\Supplementary_Figure_S2_probability_weight_distributions.pdf | figures\Supplementary_Figure_S2_probability_weight_distributions.svg | figures\Supplementary_Figure_S2_probability_weight_distributions.tiff | figures\Supplementary_Figure_S2_probability_weight_distributions.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A2.tsv	Supplementary_Figure_A2_probability_weight_distributions	5.768055555555556	4.570138888888889	all existing panels retained
S3_part_1	figures\S3_part_1.pdf | figures\S3_part_1.svg | figures\S3_part_1.tiff | figures\S3_part_1.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A3.tsv	A3_part_1	5.768055555555556	8.061805555555555	continuous part; order unchanged
S3_part_2	figures\S3_part_2.pdf | figures\S3_part_2.svg | figures\S3_part_2.tiff | figures\S3_part_2.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A3.tsv	A3_part_2	5.768055555555556	8.061805555555555	continuous part; order unchanged
S3_part_3	figures\S3_part_3.pdf | figures\S3_part_3.svg | figures\S3_part_3.tiff | figures\S3_part_3.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A3.tsv	A3_part_3	5.768055555555556	8.061805555555555	continuous part; order unchanged
Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW	figures\Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.pdf | figures\Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.svg | figures\Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.tiff | figures\Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A4.tsv	Supplementary_Figure_A4_all_Hallmark_unweighted_vs_IPW	5.768055555555556	4.097222222222222	all existing panels retained
Supplementary_Figure_S5_core_pathway_scenario_heatmap	figures\Supplementary_Figure_S5_core_pathway_scenario_heatmap.pdf | figures\Supplementary_Figure_S5_core_pathway_scenario_heatmap.svg | figures\Supplementary_Figure_S5_core_pathway_scenario_heatmap.tiff | figures\Supplementary_Figure_S5_core_pathway_scenario_heatmap.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A5.tsv	Supplementary_Figure_A5_core_pathway_scenario_heatmap	5.768055555555556	4.886111111111111	all existing panels retained
Supplementary_Figure_S6_six_scenario_robustness_metrics	figures\Supplementary_Figure_S6_six_scenario_robustness_metrics.pdf | figures\Supplementary_Figure_S6_six_scenario_robustness_metrics.svg | figures\Supplementary_Figure_S6_six_scenario_robustness_metrics.tiff | figures\Supplementary_Figure_S6_six_scenario_robustness_metrics.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A6.tsv	Supplementary_Figure_A6_six_scenario_robustness_metrics	5.768055555555556	3.625	all existing panels retained
Supplementary_Figure_S7_entry_boundary_sensitivity	figures\Supplementary_Figure_S7_entry_boundary_sensitivity.pdf | figures\Supplementary_Figure_S7_entry_boundary_sensitivity.svg | figures\Supplementary_Figure_S7_entry_boundary_sensitivity.tiff | figures\Supplementary_Figure_S7_entry_boundary_sensitivity.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A7.tsv	Supplementary_Figure_A7_entry_boundary_sensitivity	5.768055555555556	5.959027777777778	all existing panels retained
Supplementary_Figure_S8_D5_protein_availability	figures\Supplementary_Figure_S8_D5_protein_availability.pdf | figures\Supplementary_Figure_S8_D5_protein_availability.svg | figures\Supplementary_Figure_S8_D5_protein_availability.tiff | figures\Supplementary_Figure_S8_D5_protein_availability.png	R/02_Figure2_3_A2_A8.R	data/submission/numeric_truth_table.tsv | data/figure_source_data/SourceData_Supplementary_Figure_A8.tsv	Supplementary_Figure_A8_D5_protein_availability	5.768055555555556	4.325	all existing panels retained
Supplementary_Figure_S9_clinical_univariable_Cox_part_a	figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_a.pdf | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_a.svg | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_a.tiff | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_a.png	R/06_A9.R	data/figure_source_data/SourceData_Supplementary_Figure_A9.tsv	Supplementary_Figure_A9_clinical_univariable_Cox_part_a	5.768055555555556	6.46875	continuous part; order unchanged
Supplementary_Figure_S9_clinical_univariable_Cox_part_b	figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_b.pdf | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_b.svg | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_b.tiff | figures\Supplementary_Figure_S9_clinical_univariable_Cox_part_b.png	R/06_A9.R	data/figure_source_data/SourceData_Supplementary_Figure_A9.tsv	Supplementary_Figure_A9_clinical_univariable_Cox_part_b	5.768055555555556	4.71875	continuous part; order unchanged
Supplementary_Figure_S10_D5_EMT_leading_edge	figures\Supplementary_Figure_S10_D5_EMT_leading_edge.pdf | figures\Supplementary_Figure_S10_D5_EMT_leading_edge.svg | figures\Supplementary_Figure_S10_D5_EMT_leading_edge.tiff | figures\Supplementary_Figure_S10_D5_EMT_leading_edge.png	R/04_S10_S11_S12_S14.R	data/figure_source_data/SourceData_Supplementary_Figure_S10_D5_EMT_leading_edge.csv	Supplementary_Figure_S10_D5_EMT_leading_edge	5.768055555555556	6.429166666666666	all existing panels retained
Supplementary_Figure_S11_all_significant_Hallmark	figures\Supplementary_Figure_S11_all_significant_Hallmark.pdf | figures\Supplementary_Figure_S11_all_significant_Hallmark.svg | figures\Supplementary_Figure_S11_all_significant_Hallmark.tiff | figures\Supplementary_Figure_S11_all_significant_Hallmark.png	R/04_S10_S11_S12_S14.R	data/figure_source_data/SourceData_Supplementary_Figure_S11_all_significant_Hallmark.csv	Supplementary_Figure_S11_all_significant_Hallmark	5.768055555555556	5.673611111111111	all existing panels retained
Supplementary_Figure_S12_cross_omic_sensitivity	figures\Supplementary_Figure_S12_cross_omic_sensitivity.pdf | figures\Supplementary_Figure_S12_cross_omic_sensitivity.svg | figures\Supplementary_Figure_S12_cross_omic_sensitivity.tiff | figures\Supplementary_Figure_S12_cross_omic_sensitivity.png	R/04_S10_S11_S12_S14.R	data/figure_source_data/SourceData_Supplementary_Figure_S12_IFN_adjusted.csv | data/figure_source_data/SourceData_Supplementary_Figure_S12_MYC_discordance.csv	Supplementary_Figure_S12_cross_omic_sensitivity	5.768055555555556	4.097222222222222	all existing panels retained
