analysis	interval	centre_adjustment	Pathway	N	estimate	lower95	upper95	pval	FDR	variance	association	model	effect
Forward linear model	D1 to D3	With centre	OXIDATIVE_PHOSPHORYLATION	147	-0.068547861664721502	-0.22022291135108399	0.083127188021641096	0.37727729613945898	0.80845134887027004	HC3	D1 to D3	With group adjustment	-0.068547861664721502
Forward linear model	D1 to D3	Without centre	OXIDATIVE_PHOSPHORYLATION	147	-0.11541168493404701	-0.25557031188769702	0.024746942019602602	0.108793246528663	0.39849947668445401	HC3	D1 to D3	Without group adjustment	-0.11541168493404701
Forward linear model	D3 to D5	With centre	OXIDATIVE_PHOSPHORYLATION	111	-0.076975819561581005	-0.256829427469486	0.102877788346324	0.40352701127190899	0.62058468771782105	HC3	D3 to D5	With group adjustment	-0.076975819561581005
Forward linear model	D3 to D5	Without centre	OXIDATIVE_PHOSPHORYLATION	111	-0.105375061654956	-0.27349423102600001	0.062744107716088099	0.222030495092014	0.40656619747449702	HC3	D3 to D5	Without group adjustment	-0.105375061654956
Same-time partial Spearman	D1	With centre	OXIDATIVE_PHOSPHORYLATION	168	-0.052748265092806799			0.49709725298209301	0.57357375344087702	Spearman test; confidence interval not estimated	Same-time D1	With group adjustment	-0.052748265092806799
Same-time partial Spearman	D1	Without centre	OXIDATIVE_PHOSPHORYLATION	168	-0.096846037426415205			0.211725818787731	0.264657273484664	Spearman test; confidence interval not estimated	Same-time D1	Without group adjustment	-0.096846037426415205
Same-time partial Spearman	D3	With centre	OXIDATIVE_PHOSPHORYLATION	144	-0.039751627682662202			0.63617810888077697	0.83508041173553604	Spearman test; confidence interval not estimated	Same-time D3	With group adjustment	-0.039751627682662202
Same-time partial Spearman	D3	Without centre	OXIDATIVE_PHOSPHORYLATION	144	-0.14185354875010001			0.089886960189469706	0.177100388892137	Spearman test; confidence interval not estimated	Same-time D3	Without group adjustment	-0.14185354875010001
Same-time partial Spearman	D5	With centre	OXIDATIVE_PHOSPHORYLATION	109	-0.067157816699101106			0.487777118743973	0.80233300652439399	Spearman test; confidence interval not estimated	Same-time D5	With group adjustment	-0.067157816699101106
Same-time partial Spearman	D5	Without centre	OXIDATIVE_PHOSPHORYLATION	109	-0.16960429987952899			0.077883029961381106	0.29206136235517899	Spearman test; confidence interval not estimated	Same-time D5	Without group adjustment	-0.16960429987952899
