center	class	availability	N
Centre_01	partial	observed	1
Centre_02	all	observed	2
Centre_03	all	observed	3
Centre_04	zero	observed	0
Centre_05	partial	observed	1
Centre_06	all	observed	1
Centre_07	partial	observed	14
Centre_08	all	observed	4
Centre_09	partial	observed	22
Centre_10	all	observed	19
Centre_11	all	observed	1
Centre_12	zero	observed	0
Centre_13	all	observed	2
Centre_14	partial	observed	4
Centre_15	partial	observed	86
Centre_16	partial	observed	15
Centre_17	all	observed	6
Centre_18	zero	observed	0
Centre_19	partial	observed	4
Centre_20	partial	observed	1
Centre_21	all	observed	2
Centre_22	partial	observed	13
Centre_23	all	observed	3
Centre_24	partial	observed	56
Centre_25	all	observed	1
Centre_26	partial	observed	16
Centre_27	all	observed	12
Centre_28	partial	observed	2
Centre_29	all	observed	4
Centre_30	partial	observed	25
Centre_01	partial	unobserved	1
Centre_02	all	unobserved	0
Centre_03	all	unobserved	0
Centre_04	zero	unobserved	1
Centre_05	partial	unobserved	2
Centre_06	all	unobserved	0
Centre_07	partial	unobserved	46
Centre_08	all	unobserved	0
Centre_09	partial	unobserved	15
Centre_10	all	unobserved	0
Centre_11	all	unobserved	0
Centre_12	zero	unobserved	2
Centre_13	all	unobserved	0
Centre_14	partial	unobserved	1
Centre_15	partial	unobserved	18
Centre_16	partial	unobserved	6
Centre_17	all	unobserved	0
Centre_18	zero	unobserved	1
Centre_19	partial	unobserved	4
Centre_20	partial	unobserved	1
Centre_21	all	unobserved	0
Centre_22	partial	unobserved	15
Centre_23	all	unobserved	0
Centre_24	partial	unobserved	33
Centre_25	all	unobserved	0
Centre_26	partial	unobserved	2
Centre_27	all	unobserved	0
Centre_28	partial	unobserved	5
Centre_29	all	unobserved	0
Centre_30	partial	unobserved	18
