Omic,Time,pathway,NES,pval,padj,size,analysis
Whole-blood RNA-seq,D1,HEME_METABOLISM,2.69219704949971,6.01769596954596e-22,2.94867102507752e-20,189,Primary
Whole-blood RNA-seq,D1,HYPOXIA,2.42919445372891,7.35982906992997e-14,1.8031581221328398e-12,153,Primary
Whole-blood RNA-seq,D1,G2M_CHECKPOINT,2.04455033068174,7.88626700718754e-09,1.28809027784063e-07,191,Primary
Whole-blood RNA-seq,D1,TNFA_SIGNALING_VIA_NFKB,2.06317725724089,1.14306445360761e-08,1.40025395566932e-07,173,Primary
Whole-blood RNA-seq,D1,CHOLESTEROL_HOMEOSTASIS,2.30710345829649,1.9987819775816e-08,1.95880633802997e-07,67,Primary
Whole-blood RNA-seq,D1,MITOTIC_SPINDLE,1.9272094929931,2.44789910014528e-07,1.99911759845198e-06,193,Primary
Whole-blood RNA-seq,D1,EPITHELIAL_MESENCHYMAL_TRANSITION,2.03158575723909,7.39475740370717e-07,5.17633018259502e-06,119,Primary
Whole-blood RNA-seq,D1,APICAL_JUNCTION,1.96860528766253,1.40041405894718e-06,8.57753611105146e-06,131,Primary
Whole-blood RNA-seq,D1,ALLOGRAFT_REJECTION,-1.76834911563908,2.22407921721285e-05,0.0001089798816434,169,Primary
Whole-blood RNA-seq,D1,MYOGENESIS,1.88175113813162,2.05159062121483e-05,0.0001089798816434,115,Primary
Whole-blood RNA-seq,D1,OXIDATIVE_PHOSPHORYLATION,-1.69225185401553,2.57624245974542e-05,0.0001147598913886,200,Primary
Whole-blood RNA-seq,D1,COAGULATION,1.91605637474588,2.95490039365304e-05,0.0001206584327408,87,Primary
Whole-blood RNA-seq,D1,MYC_TARGETS_V1,-1.65291187067864,7.77610615484921e-05,0.0002930993858366,198,Primary
Whole-blood RNA-seq,D1,REACTIVE_OXYGEN_SPECIES_PATHWAY,1.96501149954453,8.5365546931607e-05,0.0002987794142606,48,Primary
Whole-blood RNA-seq,D1,MTORC1_SIGNALING,1.67681466463131,9.71622998408891e-05,0.0003173968461469,198,Primary
Whole-blood RNA-seq,D1,ESTROGEN_RESPONSE_EARLY,1.64510120587975,0.0005508215186634,0.0016868909009068,143,Primary
Whole-blood RNA-seq,D1,GLYCOLYSIS,1.6113128219595,0.0008919409467389,0.0025708886111888,166,Primary
Whole-blood RNA-seq,D1,IL2_STAT5_SIGNALING,1.56733001349085,0.0011313979042473,0.0030799165171178,177,Primary
Whole-blood RNA-seq,D1,ESTROGEN_RESPONSE_LATE,1.59813491066229,0.0012111515577851,0.003123496122709,140,Primary
Whole-blood RNA-seq,D1,UV_RESPONSE_UP,1.61682753167734,0.0015047402388171,0.0036866135851019,127,Primary
Whole-blood RNA-seq,D1,APOPTOSIS,1.56749862006043,0.0018347425390717,0.0042810659245007,140,Primary
Whole-blood RNA-seq,D1,UV_RESPONSE_DN,1.55039591502803,0.0047133035030708,0.0104978123477487,115,Primary
Whole-blood RNA-seq,D1,ANGIOGENESIS,1.72199327790482,0.0055650746444959,0.0118560285904478,22,Primary
Whole-blood RNA-seq,D1,P53_PATHWAY,1.46483150944111,0.0062651451882506,0.0127913380926784,181,Primary
Whole-blood RNA-seq,D1,E2F_TARGETS,1.4247806616449,0.0073650297840663,0.01443545837677,200,Primary
Whole-blood RNA-seq,D1,HEDGEHOG_SIGNALING,1.68251493647152,0.0082744455540864,0.0155941473903937,23,Primary
Whole-blood RNA-seq,D1,PI3K_AKT_MTOR_SIGNALING,1.50421203848169,0.0101877353388735,0.0184888530224001,92,Primary
Whole-blood RNA-seq,D1,INFLAMMATORY_RESPONSE,1.43927200728457,0.0111887217867393,0.0195802631267938,157,Primary
Whole-blood RNA-seq,D1,TGF_BETA_SIGNALING,1.53857561295416,0.0158560574282897,0.0259649626897009,48,Primary
Whole-blood RNA-seq,D1,XENOBIOTIC_METABOLISM,1.41988837580449,0.0158969159324699,0.0259649626897009,141,Primary
Whole-blood RNA-seq,D3,HEME_METABOLISM,2.39455785289557,1.38318024440925e-20,6.77758319760532e-19,189,Primary
Whole-blood RNA-seq,D3,TNFA_SIGNALING_VIA_NFKB,2.11407447618638,3.63831824022278e-12,8.913879688545819e-11,173,Primary
Whole-blood RNA-seq,D3,HYPOXIA,2.10325873307046,6.40449063155318e-11,1.04606680315369e-09,153,Primary
Whole-blood RNA-seq,D3,REACTIVE_OXYGEN_SPECIES_PATHWAY,2.08804295318379,1.50395749513616e-06,1.84234793154179e-05,48,Primary
Whole-blood RNA-seq,D3,COMPLEMENT,1.77384349442115,4.78457396882341e-06,4.68888248944695e-05,169,Primary
Whole-blood RNA-seq,D3,INFLAMMATORY_RESPONSE,1.75623612749587,7.84232924089763e-06,6.4045688800664e-05,157,Primary
Whole-blood RNA-seq,D3,IL2_STAT5_SIGNALING,1.72572026909424,1.13036925138836e-05,7.91258475971852e-05,177,Primary
Whole-blood RNA-seq,D3,IL6_JAK_STAT3_SIGNALING,1.90829997661839,1.74451815677089e-05,9.49793218686376e-05,72,Primary
Whole-blood RNA-seq,D3,MTORC1_SIGNALING,1.67826405817294,1.66774181922897e-05,9.49793218686376e-05,198,Primary
Whole-blood RNA-seq,D3,ADIPOGENESIS,1.6767252755465,3.13455109688284e-05,0.0001469164852425,176,Primary
Whole-blood RNA-seq,D3,UV_RESPONSE_UP,1.75070421473473,3.29812517891374e-05,0.0001469164852425,127,Primary
Whole-blood RNA-seq,D3,CHOLESTEROL_HOMEOSTASIS,1.88552068960104,3.77539697088191e-05,0.0001541620429776,67,Primary
Whole-blood RNA-seq,D3,PI3K_AKT_MTOR_SIGNALING,1.8218701005924,4.54797008396314e-05,0.0001714234877801,92,Primary
Whole-blood RNA-seq,D3,P53_PATHWAY,1.62545984520608,0.0001036241109777,0.000362684388422,181,Primary
Whole-blood RNA-seq,D3,TGF_BETA_SIGNALING,1.79970691468057,0.0004723251380777,0.0015429287843872,48,Primary
Whole-blood RNA-seq,D3,XENOBIOTIC_METABOLISM,1.60869187903379,0.000576046269979,0.0017641417018107,141,Primary
Whole-blood RNA-seq,D3,APOPTOSIS,1.59235433803805,0.0007622184646447,0.0021969826333876,140,Primary
Whole-blood RNA-seq,D3,INTERFERON_ALPHA_RESPONSE,1.61857411708593,0.0017566188383078,0.0047819068376156,94,Primary
Whole-blood RNA-seq,D3,APICAL_JUNCTION,1.53755789352425,0.0023551332691248,0.0058976398694007,131,Primary
Whole-blood RNA-seq,D3,GLYCOLYSIS,1.49070933343625,0.0024071999466942,0.0058976398694007,166,Primary
Whole-blood RNA-seq,D3,ESTROGEN_RESPONSE_EARLY,1.51810455877095,0.0028258924709831,0.0062940332308262,143,Primary
Whole-blood RNA-seq,D3,ESTROGEN_RESPONSE_LATE,1.52165886838863,0.0027204145463525,0.0062940332308262,140,Primary
Whole-blood RNA-seq,D3,INTERFERON_GAMMA_RESPONSE,1.45388948566264,0.0033254241084082,0.0070845991874783,189,Primary
Whole-blood RNA-seq,D3,COAGULATION,1.54882048481349,0.0050085339227204,0.0102257567588876,87,Primary
Whole-blood RNA-seq,D3,EPITHELIAL_MESENCHYMAL_TRANSITION,1.43016531254376,0.0163109873394323,0.0308139097121346,119,Primary
Whole-blood RNA-seq,D3,FATTY_ACID_METABOLISM,1.40775059951087,0.0163502378064388,0.0308139097121346,131,Primary
Whole-blood RNA-seq,D3,MITOTIC_SPINDLE,1.35318902695998,0.0204166234842989,0.0370523907678017,193,Primary
Whole-blood RNA-seq,D3,PROTEIN_SECRETION,1.42353154948127,0.0263539921831379,0.0461194863204914,89,Primary
Whole-blood RNA-seq,D5,MYC_TARGETS_V1,-3.13061869681718,1.2631318394907e-28,6.18934601350443e-27,198,Primary
Whole-blood RNA-seq,D5,OXIDATIVE_PHOSPHORYLATION,-2.43614140782535,7.23719118811779e-14,1.77311184108886e-12,200,Primary
Whole-blood RNA-seq,D5,HEME_METABOLISM,2.30859510794709,4.04543839612302e-12,6.60754938033427e-11,189,Primary
Whole-blood RNA-seq,D5,E2F_TARGETS,-1.88748337101442,1.12718658632316e-06,1.38080356824587e-05,200,Primary
Whole-blood RNA-seq,D5,HYPOXIA,1.94438984481066,1.65415374335842e-06,1.62107066849125e-05,153,Primary
Whole-blood RNA-seq,D5,MYC_TARGETS_V2,-2.22695119373384,2.36307842060919e-06,1.65415489442643e-05,57,Primary
Whole-blood RNA-seq,D5,UNFOLDED_PROTEIN_RESPONSE,-2.03624559061122,2.08475203522758e-06,1.65415489442643e-05,109,Primary
Whole-blood RNA-seq,D5,IL6_JAK_STAT3_SIGNALING,2.04989865211459,1.08266822187926e-05,6.63134285901046e-05,72,Primary
Whole-blood RNA-seq,D5,MITOTIC_SPINDLE,1.80033485981612,1.26958945054715e-05,6.91220923075669e-05,193,Primary
Whole-blood RNA-seq,D5,INFLAMMATORY_RESPONSE,1.77405278551066,5.48739117483403e-05,0.0002688821675668,157,Primary
Whole-blood RNA-seq,D5,PI3K_AKT_MTOR_SIGNALING,1.84630269094626,0.0001386353772468,0.000617557589554,92,Primary
Whole-blood RNA-seq,D5,TNFA_SIGNALING_VIA_NFKB,1.66949429548444,0.0002453336375056,0.0010017790198146,173,Primary
Whole-blood RNA-seq,D5,DNA_REPAIR,-1.623592292962,0.0007754788924877,0.0029229589024539,144,Primary
Whole-blood RNA-seq,D5,COMPLEMENT,1.56024599719434,0.0016655882232214,0.0058295587812751,169,Primary
Whole-blood RNA-seq,D5,XENOBIOTIC_METABOLISM,1.56001137939809,0.002580080587996,0.0084282632541205,141,Primary
Whole-blood RNA-seq,D5,ALLOGRAFT_REJECTION,-1.48616253396557,0.0032668780414671,0.0094162955312875,169,Primary
Whole-blood RNA-seq,D5,APICAL_JUNCTION,1.56856372937783,0.0031175608365947,0.0094162955312875,131,Primary
Whole-blood RNA-seq,D5,CHOLESTEROL_HOMEOSTASIS,1.57291832423411,0.0089783506309559,0.0233813743764083,67,Primary
Whole-blood RNA-seq,D5,IL2_STAT5_SIGNALING,1.44042847223385,0.0091230361468725,0.0233813743764083,177,Primary
Whole-blood RNA-seq,D5,TGF_BETA_SIGNALING,1.6100034295709,0.0095434181128197,0.0233813743764083,48,Primary
Whole-blood RNA-seq,D5,INTERFERON_GAMMA_RESPONSE,1.36801146495122,0.0191603811074832,0.0447075559174608,189,Primary
Whole-blood RNA-seq,D5,REACTIVE_OXYGEN_SPECIES_PATHWAY,1.51860276642506,0.0205196992647015,0.0457029665441079,48,Primary
Plasma proteomics,D1,MYC_TARGETS_V1,1.62024898774769,2.24675702658143e-08,9.88573091695829e-07,129,D1_center_primary
Plasma proteomics,D1,GLYCOLYSIS,1.54143050983816,4.73563211887357e-05,0.0007806581006905,80,D1_center_primary
Plasma proteomics,D1,HYPOXIA,1.56247724286976,5.32266886834455e-05,0.0007806581006905,72,D1_center_primary
Plasma proteomics,D1,EPITHELIAL_MESENCHYMAL_TRANSITION,1.35644876456295,0.0022201932478368,0.0244221257262049,102,D1_center_primary
Plasma proteomics,D1,DNA_REPAIR,1.45435764846356,0.0035915459244745,0.0316056041353759,47,D1_center_primary
Plasma proteomics,D1,FATTY_ACID_METABOLISM,1.35766251706866,0.0055386791715289,0.0404673376444936,78,D1_center_primary
Plasma proteomics,D1,G2M_CHECKPOINT,1.37899125339494,0.0071633581587253,0.0404673376444936,58,D1_center_primary
Plasma proteomics,D1,MTORC1_SIGNALING,1.29545985988187,0.0073576977535443,0.0404673376444936,110,D1_center_primary
Plasma proteomics,D3,EPITHELIAL_MESENCHYMAL_TRANSITION,2.38339633840494,1.3321506261535e-09,5.86146275507539e-08,102,D3_center_primary
Plasma proteomics,D3,MYOGENESIS,2.04994817719093,1.59288979671775e-05,0.0003504357552779,71,D3_center_primary
Plasma proteomics,D3,COMPLEMENT,-1.64726116139203,0.0018729834506748,0.0274704239432306,97,D3_center_primary
Plasma proteomics,D3,ESTROGEN_RESPONSE_LATE,1.70799001893125,0.0038308815768245,0.0313559909839162,53,D3_center_primary
Plasma proteomics,D3,G2M_CHECKPOINT,1.67969042254323,0.0042758169523522,0.0313559909839162,58,D3_center_primary
Plasma proteomics,D3,HYPOXIA,1.65392986127641,0.0040730604954767,0.0313559909839162,72,D3_center_primary
Plasma proteomics,D3,OXIDATIVE_PHOSPHORYLATION,-1.56775055184772,0.0057446307447874,0.0315954690963311,89,D3_center_primary
Plasma proteomics,D3,PROTEIN_SECRETION,-1.61421400438813,0.0054376680509534,0.0315954690963311,70,D3_center_primary
Plasma proteomics,D5,EPITHELIAL_MESENCHYMAL_TRANSITION,1.9378599732838,1.28914932222138e-07,5.67225701777406e-06,102,D5_center_primary
