analysis	interval	centre_adjustment	Pathway	N	estimate	lower95	upper95	pval	FDR	variance	analysis_class	primary_status
"Forward linear model"	"D1 to D3"	"With centre"	"INTERFERON_ALPHA_RESPONSE"	147	0.342874577606985	0.18783906430864	0.49791009090533	2.80641328802375e-05	0.000420961993203562	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D1 to D3"	"Without centre"	"INTERFERON_ALPHA_RESPONSE"	147	0.349410704191694	0.196881494721689	0.501939913661699	1.47666114078563e-05	0.000221499171117845	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Forward linear model"	"D1 to D3"	"With centre"	"INTERFERON_GAMMA_RESPONSE"	147	0.197416656137995	0.00672514467678528	0.388108167599206	0.0443827029736252	0.332870272302189	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D1 to D3"	"Without centre"	"INTERFERON_GAMMA_RESPONSE"	147	0.192319437057116	0.023202479921216	0.361436394193017	0.0274137873555685	0.205603405166764	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Forward linear model"	"D1 to D3"	"With centre"	"OXIDATIVE_PHOSPHORYLATION"	147	-0.0685478616647215	-0.220222911351084	0.0831271880216411	0.377277296139459	0.80845134887027	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D1 to D3"	"Without centre"	"OXIDATIVE_PHOSPHORYLATION"	147	-0.115411684934047	-0.255570311887697	0.0247469420196026	0.108793246528663	0.398499476684454	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Forward linear model"	"D3 to D5"	"With centre"	"INTERFERON_ALPHA_RESPONSE"	111	0.309641817962809	0.141080288036573	0.478203347889044	0.000494391659780161	0.00741587489670242	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D3 to D5"	"Without centre"	"INTERFERON_ALPHA_RESPONSE"	111	0.321901582664349	0.152012959333604	0.491790205995095	0.000330401437067606	0.00495602155601408	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Forward linear model"	"D3 to D5"	"With centre"	"INTERFERON_GAMMA_RESPONSE"	111	0.279573526956649	0.098577228710561	0.460569825202737	0.00312956825333624	0.0234717619000218	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D3 to D5"	"Without centre"	"INTERFERON_GAMMA_RESPONSE"	111	0.287048063733438	0.108001133153911	0.466094994312966	0.00218414873641428	0.0163811155231071	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Forward linear model"	"D3 to D5"	"With centre"	"OXIDATIVE_PHOSPHORYLATION"	111	-0.076975819561581	-0.256829427469486	0.102877788346324	0.403527011271909	0.620584687717821	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Forward linear model"	"D3 to D5"	"Without centre"	"OXIDATIVE_PHOSPHORYLATION"	111	-0.105375061654956	-0.273494231026	0.0627441077160881	0.222030495092014	0.406566197474497	"HC3"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D1"	"With centre"	"INTERFERON_ALPHA_RESPONSE"	168	0.516496170802942	NA	NA	7.69747623951991e-13	1.15462143592799e-11	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D1"	"Without centre"	"INTERFERON_ALPHA_RESPONSE"	168	0.538059131103811	NA	NA	5.41630865917877e-14	8.12446298876815e-13	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D1"	"With centre"	"INTERFERON_GAMMA_RESPONSE"	168	0.492301112061591	NA	NA	1.22085219663988e-11	9.15639147479913e-11	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D1"	"Without centre"	"INTERFERON_GAMMA_RESPONSE"	168	0.467875744706698	NA	NA	1.60920799022658e-10	1.20690599266994e-09	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D1"	"With centre"	"OXIDATIVE_PHOSPHORYLATION"	168	-0.0527482650928068	NA	NA	0.497097252982093	0.573573753440877	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D1"	"Without centre"	"OXIDATIVE_PHOSPHORYLATION"	168	-0.0968460374264152	NA	NA	0.211725818787731	0.264657273484664	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D3"	"With centre"	"INTERFERON_ALPHA_RESPONSE"	144	0.325817860300619	NA	NA	6.74694522891746e-05	0.00050602089216881	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D3"	"Without centre"	"INTERFERON_ALPHA_RESPONSE"	144	0.337605497950326	NA	NA	3.50162213913737e-05	0.000262621660435303	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D3"	"With centre"	"INTERFERON_GAMMA_RESPONSE"	144	0.332027168234065	NA	NA	4.79194023420831e-05	0.00050602089216881	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D3"	"Without centre"	"INTERFERON_GAMMA_RESPONSE"	144	0.341102001446829	NA	NA	2.86768514346298e-05	0.000262621660435303	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D3"	"With centre"	"OXIDATIVE_PHOSPHORYLATION"	144	-0.0397516276826622	NA	NA	0.636178108880777	0.835080411735536	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D3"	"Without centre"	"OXIDATIVE_PHOSPHORYLATION"	144	-0.1418535487501	NA	NA	0.0898869601894697	0.177100388892137	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
"Same-time partial Spearman"	"D5"	"With centre"	"INTERFERON_ALPHA_RESPONSE"	109	0.393939393939394	NA	NA	2.25395018491826e-05	0.000321892615067764	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Matches frozen centre-adjusted specification"
"Same-time partial Spearman"	"D5"	"Without centre"	"INTERFERON_ALPHA_RESPONSE"	109	0.368306922435363	NA	NA	8.13627900242994e-05	0.000610220925182245	"Spearman test; confidence interval not estimated"	"reviewer-requested post hoc centre-sensitivity analysis"	"Post hoc comparator"
