Time	pathway	group	NES	FDR	status	cell
"D1"	"ADIPOGENESIS"	"CV <20%"	1.09656766669181	0.387330497719459	"estimable"	"1.10"
"D1"	"ALLOGRAFT_REJECTION"	"CV <20%"	1.11220616290494	0.387330497719459	"estimable"	"1.11"
"D1"	"ANDROGEN_RESPONSE"	"CV <20%"	0.830125658893592	0.952306044127419	"estimable"	"0.83"
"D1"	"ANGIOGENESIS"	"CV <20%"	1.14426522662416	0.440211208248763	"estimable"	"1.14"
"D1"	"APICAL_JUNCTION"	"CV <20%"	0.922110108068367	0.910457525676004	"estimable"	"0.92"
"D1"	"APICAL_SURFACE"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"APOPTOSIS"	"CV <20%"	1.20545721256315	0.217558244175582	"estimable"	"1.21"
"D1"	"BILE_ACID_METABOLISM"	"CV <20%"	1.33775292127331	0.12348401323043	"estimable"	"1.34"
"D1"	"CHOLESTEROL_HOMEOSTASIS"	"CV <20%"	1.34340998158345	0.130439151844036	"estimable"	"1.34"
"D1"	"COAGULATION"	"CV <20%"	1.1218111701615	0.36956304369563	"estimable"	"1.12"
"D1"	"COMPLEMENT"	"CV <20%"	0.891363768974022	0.952306044127419	"estimable"	"0.89"
"D1"	"DNA_REPAIR"	"CV <20%"	1.45435764846356	0.0316056041353759	"estimable"	"1.45*"
"D1"	"E2F_TARGETS"	"CV <20%"	1.25853387431768	0.14356459090933	"estimable"	"1.26"
"D1"	"EPITHELIAL_MESENCHYMAL_TRANSITION"	"CV <20%"	1.35644876456295	0.0244221257262049	"estimable"	"1.36*"
"D1"	"ESTROGEN_RESPONSE_EARLY"	"CV <20%"	1.34407357929093	0.08624	"estimable"	"1.34"
"D1"	"ESTROGEN_RESPONSE_LATE"	"CV <20%"	1.25352681653275	0.14356459090933	"estimable"	"1.25"
"D1"	"FATTY_ACID_METABOLISM"	"CV <20%"	1.35766251706866	0.0404673376444936	"estimable"	"1.36*"
"D1"	"G2M_CHECKPOINT"	"CV <20%"	1.37899125339494	0.0404673376444936	"estimable"	"1.38*"
"D1"	"GLYCOLYSIS"	"CV <20%"	1.54143050983816	0.000780658100690534	"estimable"	"1.54***"
"D1"	"HEDGEHOG_SIGNALING"	"CV <20%"	NA	NA	"coverage_outside_original_15_to_500"	"NA"
"D1"	"HEME_METABOLISM"	"CV <20%"	1.22404395533828	0.136127563714217	"estimable"	"1.22"
"D1"	"HYPOXIA"	"CV <20%"	1.56247724286976	0.000780658100690534	"estimable"	"1.56***"
"D1"	"IL2_STAT5_SIGNALING"	"CV <20%"	1.31581741572747	0.0900397732080901	"estimable"	"1.32"
"D1"	"IL6_JAK_STAT3_SIGNALING"	"CV <20%"	0.775007076799071	0.969003099690031	"estimable"	"0.78"
"D1"	"INFLAMMATORY_RESPONSE"	"CV <20%"	0.90459144963643	0.910457525676004	"estimable"	"0.90"
"D1"	"INTERFERON_ALPHA_RESPONSE"	"CV <20%"	0.587200293498661	1	"estimable"	"0.59"
"D1"	"INTERFERON_GAMMA_RESPONSE"	"CV <20%"	0.95860766419248	0.843003868213952	"estimable"	"0.96"
"D1"	"KRAS_SIGNALING_DN"	"CV <20%"	1.20270379127347	0.36956304369563	"estimable"	"1.20"
