Package	Version	Built
abind	1.4-8	4.4.1
ade4	1.7-23	4.4.3
affy	1.84.0	4.4.1
affyio	1.76.0	4.4.1
agricolae	1.3-7	4.4.3
AlgDesign	1.2.1.2	4.4.3
annotate	1.84.0	4.4.1
AnnotationDbi	1.68.0	4.4.1
AnnotationFilter	1.30.0	4.4.1
ape	5.8-1	4.4.3
aplot	0.2.9	4.4.3
AsioHeaders	1.30.2-1	4.4.3
askpass	1.2.1	4.4.2
assertthat	0.2.1	4.4.3
assorthead	1.0.1	4.4.2
AUCell	1.28.0	4.4.1
babelgene	22.9	4.4.3
backports	1.5.0	4.4.0
BART	2.9.9	4.4.3
base64enc	0.1-3	4.4.0
bayesm	3.1-7	4.4.3
BBmisc	1.13	4.4.3
beachmat	2.22.0	4.4.1
beanplot	1.3.1	4.4.3
beeswarm	0.4.0	4.4.0
BH	1.87.0-1	4.4.2
BiasedUrn	2.0.12	4.4.1
biglm	0.9-3	4.4.3
Biobase	2.66.0	4.4.1
BiocBaseUtils	1.8.0	4.4.1
BiocFileCache	2.14.0	4.4.1
BiocGenerics	0.52.0	4.4.1
BiocManager	1.30.26	4.4.3
BiocNeighbors	2.0.1	4.4.2
BiocParallel	1.40.2	4.4.2
BiocSingular	1.22.0	4.4.1
BiocVersion	3.20.0	4.4.1
biocViews	1.74.0	4.4.1
biomaRt	2.62.1	4.4.2
biomformat	1.34.0	4.4.1
Biostrings	2.74.1	4.4.2
bipartite	2.23	4.4.3
bit	4.5.0	4.4.2
bit64	4.5.2	4.4.2
bitops	1.0-9	4.4.1
blob	1.2.4	4.4.2
bluster	1.16.0	4.4.1
brew	1.0-10	4.4.2
brio	1.1.5	4.4.2
broom	1.0.10	4.4.3
bslib	0.8.0	4.4.2
cachem	1.1.0	4.4.2
Cairo	1.7-0	4.4.3
calibrate	1.7.7	4.4.3
callr	3.7.6	4.4.2
car	3.1-3	4.4.2
carData	3.0-5	4.4.2
caret	7.0-1	4.4.3
caTools	1.18.3	4.4.3
cellranger	1.1.0	4.4.2
checkmate	2.3.2	4.4.2
chemometrics	1.4.4	4.4.3
chromote	0.5.1	4.4.3
CIBERSORT	0.1.0	4.4.2
circlize	0.4.17	4.4.3
classInt	0.4-11	4.4.3
cli	3.6.6	4.4.3
clipr	0.8.0	4.4.2
clock	0.7.3	4.4.3
clue	0.3-66	4.4.3
clusterProfiler	4.14.6	4.4.2
cmprsk	2.2-12	4.4.3
coda	0.19-4.1	4.4.3
colorspace	2.1-1	4.4.2
colourpicker	1.3.0	4.4.3
combinat	0.0-8	4.4.0
commonmark	1.9.2	4.4.2
ComplexHeatmap	2.22.0	4.4.1
compositions	2.0-9	4.4.3
conflicted	1.2.0	4.4.2
corpcor	1.6.10	4.4.0
corrplot	0.95	4.4.2
cowplot	1.1.3	4.4.2
coxphf	1.13.4	4.4.3
cplm	0.7-12.1	4.4.3
cpp11	0.5.2	4.4.3
crayon	1.5.3	4.4.2
credentials	2.0.2	4.4.2
crmn	0.0.21	4.4.0
crosstalk	1.2.2	4.4.3
curl	6.0.1	4.4.2
DALEX	2.5.3	4.4.3
data.table	1.17.8	4.4.3
data.tree	1.2.0	4.4.3
DBI	1.2.3	4.4.2
dbplyr	2.5.0	4.4.2
dcurves	0.5.1	4.4.3
DDRTree	0.1.6	4.4.3
DelayedArray	0.32.0	4.4.1
DelayedMatrixStats	1.28.1	4.4.2
deldir	2.0-4	4.4.0
DEoptimR	1.1-4	4.4.3
DEP	1.28.0	4.4.1
Deriv	4.1.6	4.4.2
desc	1.4.3	4.4.2
DESeq2	1.46.0	4.4.1
detectseparation	0.4.0	4.4.3
devtools	2.4.5	4.4.2
diagram	1.6.5	4.4.0
DiagrammeR	1.0.11	4.4.3
diffobj	0.3.5	4.4.2
digest	0.6.39	4.4.3
dittoSeq	1.21.1	4.4.2
doBy	4.6.24	4.4.2
doFuture	1.1.2	4.4.3
doParallel	1.0.17	4.4.3
doRNG	1.8.6.2	4.4.3
DOSE	4.0.1	4.4.3
dotCall64	1.2	4.4.3
DoubletFinder	2.0.6	4.4.2
downlit	0.4.4	4.4.2
dplyr	1.2.1	4.4.3
dqrng	0.4.1	4.4.3
DT	0.34.0	4.4.3
dtplyr	1.3.1	4.4.2
dynamicTreeCut	1.63-1	4.4.0
e1071	1.7-16	4.4.3
edgeR	4.4.2	4.4.2
ellipsis	0.3.2	4.4.2
enrichplot	1.26.6	4.4.2
epiR	2.0.88	4.4.3
evaluate	1.0.5	4.4.3
exactRankTests	0.8-35	4.4.2
fansi	1.0.6	4.4.2
farver	2.1.2	4.4.2
fastcluster	1.3.0	4.4.3
fastDummies	1.7.5	4.4.3
fastICA	1.2-7	4.4.3
fastmap	1.2.0	4.4.2
fastmatch	1.1-6	4.4.2
fdrtool	1.2.18	4.4.1
fgsea	1.32.4	4.4.3
fields	17.1	4.4.3
filelock	1.0.3	4.4.3
fitdistrplus	1.2-4	4.4.3
flashClust	1.1-4	4.4.3
flextable	0.9.10	4.4.3
FNN	1.1.4.1	4.4.3
fontawesome	0.5.3	4.4.2
fontBitstreamVera	0.1.1	4.4.0
fontLiberation	0.1.0	4.4.0
fontquiver	0.2.1	4.4.3
forcats	1.0.0	4.4.2
foreach	1.5.2	4.4.3
forestplot	3.1.7	4.4.3
formatR	1.14	4.4.3
Formula	1.2-5	4.4.0
formula.tools	1.7.1	4.4.3
fs	1.6.5	4.4.2
furrr	0.3.1	4.4.3
futile.logger	1.4.3	4.4.3
futile.options	1.0.1	4.4.0
future	1.67.0	4.4.3
future.apply	1.20.0	4.4.3
gargle	1.5.2	4.4.2
gbm	2.2.2	4.4.3
gdata	3.0.1	4.4.3
gdtools	0.4.4	4.4.3
genefilter	1.88.0	4.4.1
generalhoslem	1.3.4	4.4.3
generics	0.1.3	4.4.2
GenomeInfoDb	1.42.3	4.4.2
GenomeInfoDbData	1.2.13	4.4.2
GenomicRanges	1.58.0	4.4.1
GEOquery	2.74.0	4.4.1
gert	2.1.4	4.4.2
getopt	1.20.4	4.4.3
GetoptLong	1.0.5	4.4.3
ggbeeswarm	0.7.3	4.4.3
ggExtra	0.11.0	4.4.3
ggfittext	0.10.2	4.4.3
ggforce	0.5.0	4.4.3
ggfun	0.2.0	4.4.3
gggenes	0.5.1	4.4.3
ggmin	0.0.0.9000	4.4.2
ggnewscale	0.5.2	4.4.3
ggplot2	4.0.1	4.4.3
ggplotify	0.1.3	4.4.3
ggpubr	0.6.0	4.4.2
ggraph	2.2.2	4.4.3
ggrastr	1.0.2	4.4.3
ggrcs	0.4.3	4.4.3
ggrepel	0.9.6	4.4.2
ggridges	0.5.7	4.4.3
ggsci	3.2.0	4.4.2
ggside	0.4.1	4.4.3
ggsignif	0.6.4	4.4.2
ggtangle	0.0.8	4.4.3
ggtext	0.1.2	4.4.2
ggthemes	5.2.0	4.4.3
ggtree	3.14.0	4.4.1
ggvenn	0.1.19	4.4.3
gh	1.4.1	4.4.2
gitcreds	0.1.2	4.4.2
glasso	1.11	4.4.0
glmGamPoi	1.18.0	4.4.1
glmmTMB	1.1.13	4.4.3
glmnet	4.1-10	4.4.3
GlobalOptions	0.1.2	4.4.3
globals	0.18.0	4.4.3
glue	1.8.0	4.4.2
gmm	1.9-1	4.4.3
gmodels	2.19.1	4.4.3
GO.db	3.20.0	4.4.2
goftest	1.2-3	4.4.0
googledrive	2.1.1	4.4.2
googlesheets4	1.1.1	4.4.2
GOSemSim	2.32.0	4.4.1
gower	1.0.2	4.4.2
GPArotation	2026.4-1	4.4.2
gplots	3.2.0	4.4.3
graph	1.84.1	4.4.2
graphite	1.52.0	4.4.1
graphlayouts	1.2.2	4.4.3
gridExtra	2.3	4.4.2
gridGraphics	0.5-1	4.4.3
gridtext	0.1.5	4.4.2
GSEABase	1.68.0	4.4.1
gson	0.1.0	4.4.3
GSVA	2.0.7	4.4.3
gtable	0.3.6	4.4.2
gtools	3.9.5	4.4.3
hardhat	1.4.2	4.4.3
harmony	2.0.2	4.4.2
hash	2.2.6.3	4.4.3
haven	2.5.4	4.4.2
HDF5Array	1.34.0	4.4.1
here	1.0.2	4.4.3
highr	0.11	4.4.2
Hmisc	5.2-4	4.4.3
hms	1.1.3	4.4.2
HSMMSingleCell	1.26.0	4.4.2
htmlTable	2.4.3	4.4.2
htmltools	0.5.8.1	4.4.2
htmlwidgets	1.6.4	4.4.2
httpuv	1.6.15	4.4.2
httr	1.4.7	4.4.2
httr2	1.0.6	4.4.2
iBreakDown	2.1.2	4.4.3
ica	1.0-3	4.4.0
ids	1.0.1	4.4.2
ieugwasr	1.1.0	4.4.3
igraph	2.2.0	4.4.3
iml	0.11.4	4.4.3
impute	1.80.0	4.4.1
imputeLCMD	2.1	4.4.3
ingredients	2.3.0	4.4.3
ini	0.3.1	4.4.2
inum	1.0-5	4.4.3
ipred	0.9-15	4.4.3
IRanges	2.40.1	4.4.2
irlba	2.3.5.1	4.4.3
isoband	0.2.7	4.4.2
iterators	1.0.14	4.4.3
itertools	0.1-3	4.4.3
janeaustenr	1.0.0	4.4.3
jomo	2.7-6	4.4.3
