stem	target_width_mm	target_height_mm
Figure1_study_design_risksets_availability	183.0	185.0323888888889
Figure2_RNA_core_NES	183.0	132.02083333333334
Figure3_Protein_core_NES	183.0	111.99327777777778
Figure4_CrossOmics_integrated_A_to_F	185.0	244.98741666666666
Supplementary_Figure_A1_centre_positivity	166.0	95.25219444444444
Supplementary_Figure_A2_probability_weight_distributions	166.0	131.54788888888888
A3_part_1	166.0	232
A3_part_2	166.0	232
A3_part_3	166.0	232
Supplementary_Figure_A4_all_Hallmark_unweighted_vs_IPW	183.0	129.98844444444444
Supplementary_Figure_A5_core_pathway_scenario_heatmap	183.0	155.01225
Supplementary_Figure_A6_six_scenario_robustness_metrics	183.0	114.9995
Supplementary_Figure_A7_entry_boundary_sensitivity	166.0	171.52863888888888
Supplementary_Figure_A8_D5_protein_availability	166.0	124.47072222222222
Supplementary_Figure_A9_clinical_univariable_Cox_part_a	165	185
Supplementary_Figure_A9_clinical_univariable_Cox_part_b	165	135
Supplementary_Figure_S10_D5_EMT_leading_edge	166	185
Supplementary_Figure_S11_all_significant_Hallmark	183	180
Supplementary_Figure_S12_cross_omic_sensitivity	183.0	129.98844444444444
Supplementary_Figure_S13_IFN_centre_sensitivity	183.0	190.02869444444445
Supplementary_Figure_S14_D5_EMT_finite_permutation	166.0	116.19530555555555
Supplementary_Figure_S15a_CV_dependence	166	170
Supplementary_Figure_S15b_CV_dependence	166	170
S3_part_1	166.0	232
S3_part_2	166.0	232
S3_part_3	166.0	232
