workbook	sheet	input	preparation	assembly
Supplementary_Table_S18_Protein_CV_dependence.xlsx	Read_me	templates/Supplementary_Table_S18_Protein_CV_dependence.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S18_Protein_CV_dependence.xlsx	Hallmark_comparison	inputs/Supplementary_Table_S18_Protein_CV_dependence/Hallmark_comparison.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S18_Protein_CV_dependence.xlsx	Column_dictionary	templates/Supplementary_Table_S18_Protein_CV_dependence.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S18_Protein_CV_dependence.xlsx	Selected_associations	inputs/Supplementary_Table_S18_Protein_CV_dependence/Selected_associations.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S1_Clinical_variable_definitions.xlsx	README	templates/Supplementary_Table_S1_Clinical_variable_definitions.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S1_Clinical_variable_definitions.xlsx	Variable_dictionary	inputs/Supplementary_Table_S1_Clinical_variable_definitions/Variable_dictionary.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S1_Clinical_variable_definitions.xlsx	Infection_mapping	inputs/Supplementary_Table_S1_Clinical_variable_definitions/Infection_mapping.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S1_Clinical_variable_definitions.xlsx	Excluded_missing	inputs/Supplementary_Table_S1_Clinical_variable_definitions/Excluded_missing.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S1_Clinical_variable_definitions.xlsx	Sparse_event_audit	inputs/Supplementary_Table_S1_Clinical_variable_definitions/Sparse_event_audit.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S2_Clinical_univariable_Cox.xlsx	README	templates/Supplementary_Table_S2_Clinical_univariable_Cox.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S2_Clinical_univariable_Cox.xlsx	Univariable_Cox	inputs/Supplementary_Table_S2_Clinical_univariable_Cox/Univariable_Cox.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S2_Clinical_univariable_Cox.xlsx	Diagnostics	inputs/Supplementary_Table_S2_Clinical_univariable_Cox/Diagnostics.tsv	prepare_final_tables.py	assemble.py
Supplementary_Table_S3_RNA_gene_wise_Cox_PH.xlsx	README	templates/Supplementary_Table_S3_RNA_gene_wise_Cox_PH.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S3_RNA_gene_wise_Cox_PH.xlsx	Gene_Cox_PH	inputs/Supplementary_Table_S3_RNA_gene_wise_Cox_PH/Gene_Cox_PH.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S3_RNA_gene_wise_Cox_PH.xlsx	Cox_diagnostics	inputs/Supplementary_Table_S3_RNA_gene_wise_Cox_PH/Cox_diagnostics.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S4_RNA_Hallmark_GSEA.xlsx	README	templates/Supplementary_Table_S4_RNA_Hallmark_GSEA.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S4_RNA_Hallmark_GSEA.xlsx	Hallmark_GSEA	inputs/Supplementary_Table_S4_RNA_Hallmark_GSEA/Hallmark_GSEA.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S4_RNA_Hallmark_GSEA.xlsx	Leading_edges	inputs/Supplementary_Table_S4_RNA_Hallmark_GSEA/Leading_edges.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S4_RNA_Hallmark_GSEA.xlsx	GSEA_diagnostics	inputs/Supplementary_Table_S4_RNA_Hallmark_GSEA/GSEA_diagnostics.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S5_Protein_wise_Cox_PH.xlsx	README	templates/Supplementary_Table_S5_Protein_wise_Cox_PH.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S5_Protein_wise_Cox_PH.xlsx	Protein_Cox_PH	inputs/Supplementary_Table_S5_Protein_wise_Cox_PH/Protein_Cox_PH.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S5_Protein_wise_Cox_PH.xlsx	Model_diagnostics	inputs/Supplementary_Table_S5_Protein_wise_Cox_PH/Model_diagnostics.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S6_Protein_Hallmark_GSEA.xlsx	README	templates/Supplementary_Table_S6_Protein_Hallmark_GSEA.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S6_Protein_Hallmark_GSEA.xlsx	Hallmark_all_models	inputs/Supplementary_Table_S6_Protein_Hallmark_GSEA/Hallmark_all_models.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S6_Protein_Hallmark_GSEA.xlsx	Leading_edges	inputs/Supplementary_Table_S6_Protein_Hallmark_GSEA/Leading_edges.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S6_Protein_Hallmark_GSEA.xlsx	GSEA_diagnostics	inputs/Supplementary_Table_S6_Protein_Hallmark_GSEA/GSEA_diagnostics.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S7_Cross_omics_models.xlsx	README	templates/Supplementary_Table_S7_Cross_omics_models.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Table_S7_Cross_omics_models.xlsx	Same_time	inputs/Supplementary_Table_S7_Cross_omics_models/Same_time.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S7_Cross_omics_models.xlsx	Forward_models	inputs/Supplementary_Table_S7_Cross_omics_models/Forward_models.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S7_Cross_omics_models.xlsx	Reverse_models	inputs/Supplementary_Table_S7_Cross_omics_models/Reverse_models.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S7_Cross_omics_models.xlsx	Feature_coverage	inputs/Supplementary_Table_S7_Cross_omics_models/Feature_coverage.csv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Entry_risksets	inputs/Supplementary_Table_S8_D5_availability_IPW/Entry_risksets.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Centre_positivity	inputs/Supplementary_Table_S8_D5_availability_IPW/Centre_positivity.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Time_origin_audit	inputs/Supplementary_Table_S8_D5_availability_IPW/Time_origin_audit.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Covariate_missingness	inputs/Supplementary_Table_S8_D5_availability_IPW/Covariate_missingness.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Protein_availability	inputs/Supplementary_Table_S8_D5_availability_IPW/Protein_availability.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Prefit_diagnostics	inputs/Supplementary_Table_S8_D5_availability_IPW/Prefit_diagnostics.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Weight_diagnostics	inputs/Supplementary_Table_S8_D5_availability_IPW/Weight_diagnostics.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Balance_SMD	inputs/Supplementary_Table_S8_D5_availability_IPW/Balance_SMD.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Transform_constants	inputs/Supplementary_Table_S8_D5_availability_IPW/Transform_constants.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Cox_PH_audit	inputs/Supplementary_Table_S8_D5_availability_IPW/Cox_PH_audit.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Hallmark_all_models	inputs/Supplementary_Table_S8_D5_availability_IPW/Hallmark_all_models.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Hallmark_leading_edges	inputs/Supplementary_Table_S8_D5_availability_IPW/Hallmark_leading_edges.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Hallmark_comparison	inputs/Supplementary_Table_S8_D5_availability_IPW/Hallmark_comparison.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Scenario_metrics	inputs/Supplementary_Table_S8_D5_availability_IPW/Scenario_metrics.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S8_D5_availability_IPW.xlsx	Analysis_consistency	inputs/Supplementary_Table_S8_D5_availability_IPW/Analysis_consistency.tsv	aggregate input or preserved text	assemble.py
Supplementary_Table_S9_Complete_baseline_characteristics.xlsx	S9_baseline	inputs/Supplementary_Table_S9_Complete_baseline_characteristics/S9_baseline.tsv	prepare_final_tables.py	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	README	templates/Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S10_A1_diagnostics	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S10_A1_diagnostics.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S10_A1_core15	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S10_A1_core15.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S10_A1_all_Hallmark	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S10_A1_all_Hallmark.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S11_A2_overall	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S11_A2_overall.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S11_A2_core15	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S11_A2_core15.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S12_A3_summary	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S12_A3_summary.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S12_A3_SMD	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S12_A3_SMD.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S12_A3_centre_support	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S12_A3_centre_support.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S12_A3_existing_sens	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S12_A3_existing_sens.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S13_D5_EMT_leading	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S13_D5_EMT_leading.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S13_D5_protein_diag	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S13_D5_protein_diag.tsv	prepare_final_tables.py	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S14_IPW_population	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S14_IPW_population.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S14_IPW_weight_diag	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S14_IPW_weight_diag.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S14_IPW_balance	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S14_IPW_balance.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S14_IPW_scenarios	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S14_IPW_scenarios.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S14_excluded_baseline	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S14_excluded_baseline.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S15_IFN_adjusted	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S15_IFN_adjusted.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S15_MYC_discordance	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S15_MYC_discordance.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S16_all_sig_Hallmark	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S16_all_sig_Hallmark.csv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S17_PH_audit	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S17_PH_audit.tsv	prepare_final_tables.py	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S17_QC_dictionary	templates/Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S12_D3D5_protein_selection	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S12_D3D5_protein_selection.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S13_D5_EMT_permutation	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S13_D5_EMT_permutation.tsv	aggregate input or preserved text	assemble.py
Supplementary_Tables_S10-S17_with_S14_baseline.xlsx	S15_IFN_centre_sensitivity	inputs/Supplementary_Tables_S10-S17_with_S14_baseline/S15_IFN_centre_sensitivity.tsv	aggregate input or preserved text	assemble.py
