pathway	Time	ref_NES	ref_ES	ref_pval	ref_FDR	ref_log2err	ref_coverage	ref_status	ref_family_eligible_n	ref_family_finite_p_n	ref_LE	control_NES	control_ES	control_pval	control_FDR	control_log2err	control_coverage	control_status	control_family_eligible_n	control_family_finite_p_n	control_LE	delta_NES	ref_signed_NES_rank	control_signed_NES_rank	rank_shift	direction_same	FDR_status	ref_LE_n	control_LE_n	shared_LE_n	LE_Jaccard	shared_universe_LE_Jaccard	added_in_control_LE_n	added_fraction_control_LE	added_abs_z_share_control_LE
"ADIPOGENESIS"	"D1"	1.09656766669181	0.354350658355103	0.228877112288771	0.387330497719459	0.0264832773950661	94	"estimable"	44	44	"TKT;TST;QDPR;EPHX2;ETFB;PGM1;ANGPTL4;G3BP2;ALDH2;ITIH5;SULT1A1;SUCLG1;REEP5;SPARCL1;ACADS;ACAA2;TALDO1;UBQLN1;NMT1;IDH1;REEP6;DHCR7;GPX4;YWHAG;PFKL;SORBS1;CAVIN1;LAMA4;COL15A1;ALDOA"	0.996127244927427	0.314255854466236	0.516848315168483	0.75912096290371	0.0139490580992562	137	"estimable"	47	47	"TKT;TST;QDPR;EPHX2;ETFB;PGM1;ANGPTL4;G3BP2;PPM1B;ALDH2;ITIH5;SULT1A1;FABP4;SUCLG1;REEP5;SPARCL1;ACADS;ACAA2;GBE1;TALDO1;DECR1;UBQLN1;ACADM;NMT1;IDH1;REEP6;DHCR7;GPX4;LIPE;PDCD4;YWHAG;ORM1;PFKL;ECHS1;SORBS1;CAVIN1;LAMA4;COL15A1;ALDOA;SLC1A5;UQCR11;ACO2"	-0.100440421764383	27	32	5	TRUE	"neither"	30	42	30	0.714285714285714	0.967741935483871	11	0.261904761904762	0.242543606657571
"ALLOGRAFT_REJECTION"	"D1"	1.11220616290494	0.366294630898039	0.222877712228777	0.387330497719459	0.0269416229575224	70	"estimable"	44	44	"INHBB;CAPG;STAB1;EIF3A;EIF5A;EIF3D;PTPN6;TRAF2;C2;UBE2N;NPM1;IL16;HCLS1;AARS1;NME1;TIMP1;F2;ABI1;LY75;DARS1;HLA-A;RPS3A;WAS;RARS1;ABCE1;EIF4G3;PRKCB;CSK;CD247;PTPRC;STAT1;LCP2;SRGN;RPS9;RPS19;NCK1;CD40;TLR2;FGR;CFP;MMP9"	1.1654300006176	0.375408858490996	0.111488851114889	0.261998800119988	0.0407358500698217	94	"estimable"	47	47	"INHBB;CAPG;STAB1;EIF3A;EIF5A;EIF3D;PTPN6;THY1;TRAF2;C2;UBE2N;CXCL13;NPM1;IL16;HCLS1;AARS1;NME1;TIMP1;F2;ABI1;LY75;CD74;DARS1;HLA-A;EIF3J;RPS3A;FAS;TPD52;WAS;TGFB2;HLA-DRA;RARS1;CTSS;ABCE1;IL18;CD8A;MAP4K1;EIF4G3;PRKCB;CSK;CD247;NCF4;PTPRC;STAT1;LCP2;SRGN;RPS9;RPS19;NCK1;RPL9;CD40;TLR2;FGR;CFP"	0.0532238377126599	26	21	-5	TRUE	"neither"	41	54	40	0.727272727272727	0.975609756097561	14	0.259259259259259	0.244336534700707
"ANDROGEN_RESPONSE"	"D1"	0.830125658893592	0.294049522706036	0.800802809834421	0.952306044127419	0.00726037409241264	30	"estimable"	44	44	"SEC24D;SELENOP;SORD;B4GALT1;PDLIM5;FKBP5;PA2G4;H1-0;RAB4A;PTK2B;TNFAIP8;SMS;RPS6KA3;GSR"	1.06563145832263	0.360751704119582	0.35825077554288	0.58061332587984	0.0193220780175963	48	"estimable"	47	47	"SEC24D;DBI;SELENOP;SORD;NDRG1;PGM3;ZMIZ1;B4GALT1;PDLIM5;FKBP5;XRCC6;XRCC5;TPD52;AZGP1;PA2G4;GPD1L;ADRM1;H1-0;RAB4A;PTK2B;TNFAIP8;SMS;RPS6KA3;GSR"	0.235505799429038	38	29	-9	TRUE	"neither"	14	24	14	0.583333333333333	1	10	0.416666666666667	0.447567981494096
"ANGIOGENESIS"	"D1"	1.14426522662416	0.437363458149095	0.270129605061741	0.440211208248763	0.0240485857811045	17	"estimable"	44	44	"POSTN;LUM;COL3A1;NRP1;LRPAP1;TIMP1;FSTL1;VCAN"	1.10765008932663	0.401985929203993	0.314573877962683	0.528034723723075	0.0214312814210233	25	"estimable"	47	47	"STC1;POSTN;LUM;COL3A1;NRP1;LRPAP1;TIMP1;PRG2;FSTL1;VCAN"	-0.0366151372975301	23	25	2	TRUE	"neither"	8	10	8	0.8	1	2	0.2	0.228271617690068
"APICAL_JUNCTION"	"D1"	0.922110108068367	0.299797071690484	0.715528447155285	0.910457525676004	0.00909671992089806	85	"estimable"	44	44	"WASL;FSCN1;MYH10;VCAM1;EVL;PCDH1;SHC1;LAMC2;B4GALT1;VASP;ZYX;FBN1;VWF;CD99;MAPK14;MMP2;CTNNA1;CAP1;SYK;NECTIN2;VCAN;CDH1;RAC2;ARHGEF6;EPB41L2;YWHAH;NF2;ADAMTS5;ITGA9;RRAS;INPPL1;CD274;PIK3CB;PTPRC;CD209;ARPC2;PFN1;CRAT;ACTB;MMP9;ADAM9;GNAI2;TUBG1;ACTA1;PECAM1;ACTN4;ICAM2;CTNND1;CNN2;FYB1;RHOF;MDK;LIMA1"	0.956869603239275	0.3054988210269	0.633236676332367	0.802834210526316	0.0109797068571934	108	"estimable"	47	47	"WASL;FSCN1;MYH10;VCAM1;FLNC;THY1;EVL;PCDH1;SHC1;ADAM15;TIAL1;LAMC2;B4GALT1;VASP;ZYX;FBN1;VWF;CD99;MAPK14;TGFBI;MMP2;CTNNA1;CAP1;SYK;NECTIN2;VCAN;COL16A1;CDH1;RAC2;ARHGEF6;EPB41L2;GTF2F1;YWHAH;NF2;ADAMTS5;ITGA9;RRAS;INPPL1;ACTG1;CD274;PIK3CB;PTPRC;CD209;ARPC2;HADH;PFN1;CRAT;ACTB;MVD;MMP9;TJP1;ADAM9;GNAI2;TUBG1;ACTA1;PECAM1;ACTN4;ICAM2;CTNND1;SLIT2;CNN2;FYB1;RHOF;MDK;LIMA1;THBS3"	0.0347594951709079	34	35	1	TRUE	"neither"	53	66	53	0.803030303030303	1	13	0.196969696969697	0.203458699389179
"APICAL_SURFACE"	"D1"	NA	NA	NA	NA	NA	12	"coverage_outside_original_15_to_500"	44	44	NA	0.852882777372366	0.331018896309986	0.725819756650856	0.858251674832517	0.00935871346414917	16	"estimable"	47	47	"THY1;B4GALT1;PLAUR;GHRL;SCUBE1"	NA	NA	42	NA	NA	"not_comparable"	0	5	0	0	0	2	0.4	0.444985084717359
"APOPTOSIS"	"D1"	1.20545721256315	0.402075978158437	0.0988901109889011	0.217558244175582	0.0435598039078413	59	"estimable"	44	44	"LGALS3;BMP2;LUM;ETF1;HMOX1;IGF2R;BAX;TIMP1;TNFSF10;F2;GPX4;PLCB2;BCL2L1;LMNA;MMP2;DPYD;DCN;GPX1;DNAJA1;PLAT;BGN;FDXR;RELA;SPTAN1;DNM1L;H1-0;CD44;CD38;CD14;TIMP3;ANXA1;ENO2"	1.30480169444024	0.422565097423945	0.0143960904564402	0.0676616251452688	0.120674297088992	87	"estimable"	47	47	"LGALS3;SOD2;BMP2;LUM;ETF1;ISG20;HMOX1;IGF2R;GSTM1;IGFBP6;MGMT;BAX;TIMP1;TNFSF10;F2;GPX4;PLCB2;PDCD4;BCL2L1;LMNA;MMP2;DPYD;DCN;TGFBR3;FAS;TGFB2;GPX1;DNAJA1;PLAT;BGN;FDXR;IL18;RELA;SPTAN1;GPX3;TIMP2;CASP1;DNM1L;H1-0;CD44;PPP3R1;CD38;TXNIP;CD14;TIMP3;CREBBP;ANXA1;ENO2"	0.0993444818770901	20	14	-6	TRUE	"neither"	32	48	32	0.666666666666667	1	16	0.333333333333333	0.328357735680246
"BILE_ACID_METABOLISM"	"D1"	1.33775292127331	0.468909861902015	0.042096822692192	0.12348401323043	0.068945037482762	33	"estimable"	44	44	"ALDH9A1;EPHX2;AGXT;APOA1;IDH1;SERPINA6;ALDH1A1;HSD17B4;HAO1;PFKM;ACSL1;ISOC1;PRDX5;FDXR;GC;GCLM;SCP2"	1.33373621268207	0.45228569172557	0.0291232986389111	0.105291925848371	0.0834065212039972	47	"estimable"	47	47	"ALDH9A1;ALDH8A1;EPHX2;AGXT;APOA1;SULT1B1;IDH1;SERPINA6;IDH2;ALDH1A1;LIPE;BMP6;HSD17B4;CYP27A1;HAO1;PFKM;ACSL1;ISOC1;PRDX5;FDXR;GC;GCLM;SCP2"	-0.00401670859123993	10	10	0	TRUE	"neither"	17	23	17	0.739130434782609	1	6	0.260869565217391	0.278594181329977
"CHOLESTEROL_HOMEOSTASIS"	"D1"	1.34340998158345	0.479949348520493	0.0474324188523767	0.130439151844036	0.0648554401962692	28	"estimable"	44	44	"LGALS3;ACSS2;ACAT2;ALDOC;DHCR7;FASN;LSS;S100A11;FDPS;PMVK;NIBAN1;GSTM2;ADH4"	1.13015636084521	0.388812869830872	0.248448448448448	0.467083083083083	0.0251123051873433	40	"estimable"	47	47	"LGALS3;PCYT2;ACSS2;ACAT2;ALDOC;DHCR7;FASN;PLAUR;LSS;S100A11;FDPS;FABP5;PMVK;NIBAN1;GSTM2;ADH4"	-0.21325362073824	9	22	13	TRUE	"neither"	13	16	13	0.8125	1	3	0.1875	0.19265771630238
"COAGULATION"	"D1"	1.1218111701615	0.364724018163738	0.184881511848815	0.36956304369563	0.0302960517152992	85	"estimable"	44	44	"HMGCS2;CRIP2;F9;C1S;F10;CTSB;CAPN2;C2;LRP1;MMP1;A2M;APOA1;MMP3;CFI;LTA4H;CSRP1;PRSS23;TIMP1;F2;C9;FN1;PEF1;FBN1;VWF;RAC1;F8;FGA;MMP2;GNG12;FGG"	1.10805886166036	0.353939614248565	0.200879912008799	0.429152539291525	0.0287776612361341	107	"estimable"	47	47	"HMGCS2;CRIP2;F9;SERPINE1;RABIF;C1S;F10;PROC;CTSB;PROZ;CAPN2;C2;LRP1;MMP1;A2M;APOA1;MMP3;CFI;LTA4H;CSRP1;PRSS23;TIMP1;F2;C9;FN1;PEF1;FBN1;VWF;RAC1;F8;FGA;MMP2;GNG12;FGG;ITIH1;CPQ;ARF4;CTSO;C1R;PLAT"	-0.01375230850114	25	24	-1	TRUE	"neither"	30	40	30	0.75	0.882352941176471	6	0.15	0.162087987022028
"COMPLEMENT"	"D1"	0.891363768974022	0.287416374337557	0.797820217978202	0.952306044127419	0.00726262519782228	97	"estimable"	44	44	"LGALS3;C1S;F10;CTSB;XPNPEP1;USP14;EHD1;C2;LRP1;LTA4H;CSRP1;TIMP1;F2;C9;FN1;F8;LAP3;CP;PLA2G7;ITIH1;LIPA;WAS;RHOG;GRB2;C1R;PLAT;GNG2;HSPA5;VCPIP1;SERPING1;HSPA1A;PPP2CB;GZMK;USP15;CFB;CALM1;COL4A2;LCP2;PRKCD;GNB2;PFN1;CDH13;F7;FCER1G;GNB4;C1QC;S100A9;CD55;ADAM9;CD46;GNAI2;DOCK10;USP16;LYN"	0.913168016051098	0.288284392263804	0.774122587741226	0.877394306038225	0.00779308184870934	135	"estimable"	47	47	"LGALS3;SERPINE1;RABIF;C1S;F10;CTSB;XPNPEP1;USP14;EHD1;C2;LRP1;LTA4H;CSRP1;CTSL;CPM;TIMP1;F2;PLAUR;C9;FN1;F8;LAP3;CP;PLA2G7;ITIH1;CPQ;LIPA;WAS;RHOG;CTSO;GRB2;C1R;PLAT;CTSS;GNG2;HSPA5;VCPIP1;SERPING1;TIMP2;CASP1;HSPA1A;PPP2CB;GZMK;USP15;CFB;CALM1;CBLB;COL4A2;LCP2;PRKCD;MMP15;SERPINA1;C1QA;GNB2;PREP;S100A12;PFN1;CDH13;F7;CASP7;FCER1G;GNB4;C1QC;S100A9;CD55;ADAM9;CD46;GNAI2;DOCK10;USP16;LYN;PLEK"	0.021804247077076	36	39	3	TRUE	"neither"	54	72	54	0.75	1	18	0.25	0.245176190217967
