pathway	Time	ref_NES	ref_FDR	control_NES	control_FDR	direction_same	FDR_status
MYC_TARGETS_V1	D1	1.62024898774769	9.88573091695829e-07	1.63733579898128	5.98358497442831e-08	TRUE	both_FDR_lt_05
HYPOXIA	D1	1.56247724286976	0.000780658100690534	1.73053016313713	1.14099227690254e-07	TRUE	both_FDR_lt_05
GLYCOLYSIS	D1	1.54143050983816	0.000780658100690534	1.62901972726253	1.25451828290242e-06	TRUE	both_FDR_lt_05
EPITHELIAL_MESENCHYMAL_TRANSITION	D1	1.35644876456295	0.0244221257262049	1.45031468162089	0.000441238379701732	TRUE	both_FDR_lt_05
DNA_REPAIR	D1	1.45435764846356	0.0316056041353759	1.40280558339247	0.0270189321955313	TRUE	both_FDR_lt_05
FATTY_ACID_METABOLISM	D1	1.35766251706866	0.0404673376444936	1.2252556586596	0.124380895243809	TRUE	reference_only
G2M_CHECKPOINT	D1	1.37899125339494	0.0404673376444936	1.40420794867317	0.020541156761265	TRUE	both_FDR_lt_05
MTORC1_SIGNALING	D1	1.29545985988187	0.0404673376444936	1.3897525156752	0.00343891280324561	TRUE	both_FDR_lt_05
EPITHELIAL_MESENCHYMAL_TRANSITION	D3	2.38339633840494	5.86146275507539e-08	2.6100573200321	5.81574021486726e-13	TRUE	both_FDR_lt_05
MYOGENESIS	D3	2.04994817719093	0.000350435755277906	2.05232651646429	7.74572858102979e-05	TRUE	both_FDR_lt_05
COMPLEMENT	D3	-1.64726116139203	0.0274704239432306	-1.48961360479903	0.0402090753437934	TRUE	both_FDR_lt_05
OXIDATIVE_PHOSPHORYLATION	D3	-1.56775055184772	0.0315954690963311	-1.96390137138816	1.59100565329687e-05	TRUE	both_FDR_lt_05
PROTEIN_SECRETION	D3	-1.61421400438813	0.0315954690963311	-1.41198933494351	0.136496590887732	TRUE	reference_only
EPITHELIAL_MESENCHYMAL_TRANSITION	D5	1.9378599732838	5.67225701777406e-06	1.9702047164111	6.62951642650495e-09	TRUE	both_FDR_lt_05
