Variable,Level,event_0,event_1,Total,Sparse_deaths,Zero_deaths
sex,0,178,28,206,FALSE,FALSE
sex,1,242,56,298,FALSE,FALSE
diabete,0,312,55,367,FALSE,FALSE
diabete,1,108,29,137,FALSE,FALSE
hyperten,0,259,45,304,FALSE,FALSE
hyperten,1,161,39,200,FALSE,FALSE
myoinfarc,0,406,78,484,FALSE,FALSE
myoinfarc,1,14,6,20,FALSE,FALSE
cardiofailure,0,381,70,451,FALSE,FALSE
cardiofailure,1,39,14,53,FALSE,FALSE
cerebrovasc,0,354,62,416,FALSE,FALSE
cerebrovasc,1,66,22,88,FALSE,FALSE
dementia,0,407,74,481,FALSE,FALSE
dementia,1,13,10,23,FALSE,FALSE
copd,0,395,74,469,FALSE,FALSE
copd,1,25,10,35,FALSE,FALSE
paralysis,0,409,79,488,FALSE,FALSE
paralysis,1,11,5,16,FALSE,FALSE
renafailure,0,386,76,462,FALSE,FALSE
renafailure,1,34,8,42,FALSE,FALSE
infectionSite_SD,Abdomen,83,7,90,FALSE,FALSE
infectionSite_SD,Biliary/Liver,57,9,66,FALSE,FALSE
infectionSite_SD,Lung/Chest,148,46,194,FALSE,FALSE
infectionSite_SD,Others/Unknown,31,5,36,FALSE,FALSE
infectionSite_SD,SoftTissue,18,7,25,FALSE,FALSE
infectionSite_SD,Urinary,83,10,93,FALSE,FALSE
