Variable	Label	Type	Contrast	Reference	N	Events	HR	Lower95	Upper95	P_value	BH_FDR	PH_p	Nonlinearity_LRT_p	Sparse_event_flag	Zero_event_flag	Note	PH_BH_FDR	Overall_factor_LRT_p
age	Age	continuous	per 10 years		504	84	1.22197755513258	1.0488594071182	1.42366949765988	0.0101117265385936	0.044941006838193777	0.852292310903155	0.478118648757215	FALSE	FALSE		0.954943136293858	
height	Height	continuous	per 10 cm		504	84	1.04719567724597	0.796618028261355	1.37659298125108	0.741036099852729	0.78401996712271893	0.91976955061413	0.41638026131915	FALSE	FALSE		0.954943136293858	
weight	Weight	continuous	per 10 kg		504	84	0.931383027346276	0.76756110346086	1.13016975419593	0.471405388589342	0.57140047101738423	0.921055617664402	0.131496189798974	FALSE	FALSE		0.954943136293858	
BMI	BMI	continuous	per 5 kg/m^2		504	84	0.864253461752569	0.627120944180134	1.1910526240322	0.372644703573192	0.496859604764256	0.956317566025708	0.482946720778559	FALSE	FALSE		0.956317566025708	
hrmax	HRmax	continuous	per 10 beats/min		504	84	1.10783496312422	1.0228309377425	1.19990338601727	0.0119310854908053	0.047724341963221201	0.447068803608015	0.518635707288165	FALSE	FALSE		0.935968503695333	
mapmax	MAPmax	continuous	per 10 mmHg		504	84	0.854818449637053	0.746867283809526	0.978372727899873	0.0227626165121737	0.075875388373912334	0.851321054385162	0.514402105997646	FALSE	FALSE		0.954943136293858	
sapmax	SBPmax	continuous	per 10 mmHg		504	84	0.982524481297768	0.89765501253516	1.07541799785988	0.702095740527909	0.78010637836434338	0.0486131015727835	0.768867734266616	FALSE	FALSE		0.79429906843735	
rrmax	RRmax	continuous	per 5 breaths/min		504	84	0.928563737509856	0.792167845392029	1.08844434880031	0.360512098318287	0.496859604764256	0.521324452842615	0.499955586897189	FALSE	FALSE		0.954943136293858	
tmax	Tmax	continuous	per 1 degrees C		504	84	0.927045047702633	0.758695781146194	1.13274983442194	0.45876593950056	0.57140047101738423	0.882886935287827	0.300915493760843	FALSE	FALSE		0.954943136293858	
lac	Lactate	continuous	per 1 mmol/L		504	84	1.09587424824776	1.05101817365264	1.14264472116492	1.75859626240435e-05	0.00023447950165391334	0.0108822220565732	0.352857274662693	FALSE	FALSE		0.446171104319503	
k	K	continuous	per 1 mmol/L		504	84	1.42227595137466	1.10399456977069	1.8323177823953	0.00642188019653609	0.032109400982680447	0.919508752776905	0.538130429220287	FALSE	FALSE		0.954943136293858	
na	Na	continuous	per 5 mmol/L		504	84	1.25389005793341	1.12010619968444	1.40365286597574	8.48450733510899e-05	0.00084845073351089899	0.456570001802601	0.270060705713727	FALSE	FALSE		0.935968503695333	
cl	Cl	continuous	per 5 mmol/L		504	84	1.04096090448285	0.911664499393204	1.1885947137165	0.553013811457866	0.65060448406807769	0.872760892397827	0.000405787262750958	FALSE	FALSE	Nonlinear association suggested; consider restricted cubic spline	0.954943136293858	
bun	BUN	continuous	per 5 mg/dL		504	84	1.22908374268403	1.12557046075116	1.34211664147799	4.32364549266558e-06	8.6472909853311597e-05	0.251850924138672	0.000465696005439503	FALSE	FALSE	Nonlinear association suggested; consider restricted cubic spline	0.79429906843735	
alb	Albumin	continuous	per 5 g/L		504	84	0.823736168815509	0.678867323480165	0.999519718133373	0.049433704682793	0.14123915623655142	0.0779262821167622	0.1322256693991	FALSE	FALSE		0.79429906843735	
cr	Creatinine	continuous	per 50 micromol/L		504	84	1.03687387255757	0.979942656106471	1.09711259214306	0.208842295288736	0.3212958389057477	0.716060257636714	0.0261588055537759	FALSE	FALSE	Nonlinear association suggested; consider restricted cubic spline	0.954943136293858	
bilirubin	Bilirubin	continuous	per 10 micromol/L		504	84	0.977950696255394	0.920684903092618	1.03877837150785	0.468941350003691	0.57140047101738423	0.126136526990728	0.943666578091171	FALSE	FALSE		0.79429906843735	
crp	CRP	continuous	per 10 mg/L		504	84	1.00064130587599	0.979264172635714	1.02248509748929	0.9536000765459	0.95360007654589996	0.403124396505385	0.0933535709369501	FALSE	FALSE		0.935968503695333	
wbc	WBC count	continuous	per 1 10^9/L		504	84	0.99903091338833	0.975940944238597	1.02266717243243	0.935230398460334	0.95360007654589996	0.309569360757707	0.0304705142545821	FALSE	FALSE	Nonlinear association suggested; consider restricted cubic spline	0.891293840758355	
plt	Platelet count	continuous	per 50 10^9/L		504	84	1.09493127972522	0.965215369693918	1.24207979375721	0.158639357176089	0.27589453421928523	0.836570920975185	0.344160226399449	FALSE	FALSE		0.954943136293858	
inr	INR	continuous	per 0.5 ratio		504	84	1.05046618355409	0.943118476888114	1.17003242946921	0.370696457347886	0.496859604764256	0.7522608963049	0.0221366099935454	FALSE	FALSE	Nonlinear association suggested; consider restricted cubic spline	0.954943136293858	
aptt	aPTT	continuous	per 5 seconds		504	84	1.02915854097074	0.967003081320177	1.09530912870207	0.36584598469728	0.496859604764256	0.507515553026953	0.20637796097938	FALSE	FALSE		0.954943136293858	
