pathway,pval,padj,log2err,ES,NES,size,analysis,ranked_features,Time,direction,leadingEdge_text
ADIPOGENESIS,0.254639175257732,0.337224853719699,0.029076871666459,0.236569122512652,1.10226266179174,176,Primary,14541,D1,positive mortality association,BCL6;ITGA7;GPAT4;PGM1;PFKFB3;DHCR7;CAVIN1;MYLK;SORBS1;ADIPOR2;ALDOA;ORM1;STOM;ADCY6;TOB1;SLC1A5;GADD45A;MGLL;FAH;PPARG;DNAJB9;CD151;PLIN2;GBE1;ITSN1;PIM3;BAZ2A;SLC25A10;GPX4;ELOVL6;MIGA2;GRPEL1;RETN;POR;GPX3;PPP1R15B;CAVIN2;CRAT;UCK1;RTN3;BCKDHA;SQOR;CDKN2C
ALLOGRAFT_REJECTION,2.22407921721285e-05,0.00010897988164343,0.182442388419998,-0.336028978285233,-1.76834911563908,169,Primary,14541,D1,negative mortality association,HLA-DMB;HLA-DRA;HLA-DMA;HLA-DOA;CD4;HDAC9;CTSS;LY86;CD86;TRAT1;EIF3A;CCR2;CD28;LTB;FCGR2B;GZMA;MRPL3;SIT1;CD40LG;LY75;CD1D;TNF;ACVR2A;IRF8;CD3G;RPS3A;CCR5;CD74;CD8B;FASLG;CD47;EIF3D;CD3E;GPR65;CD79A;CCR1;LCK;C2;IL7;CCL4;CD40;CD2;HLA-DQA1;IL27RA;CD8A;KLRD1;CD3D;HLA-DOB;IL1B;IL2RA;TAP2;ABCE1;RPL39;MAP3K7;CD247;CXCR3;MTIF2;IL15;CCND2;ITK;IL2RB;APBB1;CRTAM;RIPK2;PSMB10;RPS19;TLR6
ANDROGEN_RESPONSE,0.082967577516636,0.123194281767126,0.0578509291080087,0.310042302013833,1.29966924397529,86,Primary,14541,D1,positive mortality association,NDRG1;CAMKK2;CCND3;FKBP5;ACTN1;CDC14B;ANKH;SCD;H1-0;ABCC4;GSR;DHCR24;B4GALT1;CENPN;DNAJB9;ELL2;PTK2B;ARID5B;SLC38A2;PA2G4;SRF;MERTK;TSC22D1;FADS1
ANGIOGENESIS,0.00556507464449591,0.0118560285904478,0.129006250027651,0.55053740072326,1.72199327790482,22,Primary,14541,D1,positive mortality association,VEGFA;FGFR1;PF4;FSTL1;PDGFA;PGLYRP1;APP;LRPAP1;TIMP1;PTK2;OLR1
APICAL_JUNCTION,1.40041405894718e-06,8.57753611105146e-06,0.203976791242268,0.439854610184816,1.96860528766253,131,Primary,14541,D1,positive mortality association,MYL9;TUBG1;ALOX15B;VWF;KCNH2;COL17A1;YWHAH;NF1;VCL;ACTN1;ADAM9;INPPL1;PBX2;CLDN15;MADCAM1;MMP9;SYK;PIK3CB;IKBKG;MVD;RAC2;MAPK13;CDH1;SHC1;CLDN5;MAP4K2;RSU1;ZYX;ACTB;B4GALT1;CNN2;THBS3;SIRPA;ACTG1;MAPK14;JAM3;PCDH1;ARPC2;MYH9;FBN1;STX4;VASP;LDLRAP1;CD99;AKT2;GNAI2;PTK2;CAP1;CLDN9;MYH10;SKAP2;CRAT;CERCAM;ADAM15;PFN1;LAMB3
APICAL_SURFACE,0.196729045447397,0.275420663626356,0.0381615360374572,0.362750857949619,1.2148349760734,29,Primary,14541,D1,positive mortality association,PCSK9;SLC2A4;ADIPOR2;APP;B4GALT1;AFAP1L2;GSTM3;FLOT2
APOPTOSIS,0.00183474253907176,0.00428106592450078,0.144233372292081,0.346935850529979,1.56749862006043,140,Primary,14541,D1,positive mortality association,EREG;DDIT3;DAP;TIMP3;IER3;ADD1;LMNA;CLU;ANKH;AVPR1A;GADD45B;F2R;CTH;HMGB2;H1-0;APP;GSN;GADD45A;CREBBP;GSR;PPP2R5B;PSEN1;ETF1;TOP2A;IGF2R;TNFRSF12A;CFLAR;SQSTM1;RELA;TIMP1;GPX4;WEE1;CCNA1;TIMP2;BCL2L1;PTK2;GPX3;IL18;BCAP31;CDKN1B;BCL2L2;EMP1;JUN;GPX1;CDKN1A;IFITM3;GSTM1;RHOT2;RARA;CAV1;GNA15;CDK2;HGF;BTG3;SAT1;BIK;SC5D
BILE_ACID_METABOLISM,0.69952579393591,0.729292848997013,0.0148148184107082,0.212461447705894,0.871438737619582,75,Primary,14541,D1,positive mortality association,BMP6;PECR;PFKM;ACSL1;GCLM;KLF1;ABCA6;ABCA5;TFCP2L1;DHCR24;PRDX5;RXRA;LONP2;ABCA3;FADS1;ATXN1;ABCA2;NEDD4;PIPOX;SLC27A2;PHYH
CHOLESTEROL_HOMEOSTASIS,1.9987819775816e-08,1.95880633802997e-07,0.232569324665012,0.574455826559463,2.30710345829649,67,Primary,14541,D1,positive mortality association,LDLR;STX5;PNRC1;NFIL3;DHCR7;CLU;CHKA;FABP5;TM7SF2;CD9;AVPR1A;SREBF2;SCD;MVD;ALCAM;ATF5;LGMN;GSTM2;CYP51A1;ALDOC;PPARG;TNFRSF12A;SQLE;ACTG1;GLDC;FDFT1;ACAT2;MVK;LSS;FBXO6;PLSCR1;ABCA2;S100A11;CPEB2;TRIB3;TP53INP1;FADS2;ACSS2;SC5D;IDI1;STARD4;JAG1
COAGULATION,2.95490039365304e-05,0.000120658432740832,0.182442388419998,0.456341656007509,1.91605637474588,87,Primary,14541,D1,positive mortality association,THBS1;TIMP3;MMP1;MAFF;FURIN;VWF;GP9;ITGB3;PF4;SPARC;PLAU;CLU;P2RY1;ADAM9;WDR1;CD9;MMP8;GP1BA;SERPINE1;MMP9;KLF7;GSN;LGMN;PROS1;FN1;TIMP1;GNB2;FBN1;PEF1;CAPN5;F12;SIRT2;SERPINB2;CTSK;OLR1;PDGFB
