Omics,Pathway,detected,total,coverage
RNA,TNFA_SIGNALING_VIA_NFKB,173,200,0.865
RNA,IL6_JAK_STAT3_SIGNALING,72,87,0.827586206896552
RNA,INFLAMMATORY_RESPONSE,157,200,0.785
RNA,INTERFERON_ALPHA_RESPONSE,94,97,0.969072164948454
RNA,INTERFERON_GAMMA_RESPONSE,189,200,0.945
RNA,COAGULATION,87,138,0.630434782608696
RNA,COMPLEMENT,169,200,0.845
RNA,HEME_METABOLISM,189,200,0.945
RNA,EPITHELIAL_MESENCHYMAL_TRANSITION,119,200,0.595
RNA,TGF_BETA_SIGNALING,48,54,0.888888888888889
RNA,APICAL_JUNCTION,131,200,0.655
RNA,HYPOXIA,153,200,0.765
RNA,OXIDATIVE_PHOSPHORYLATION,200,200,1
RNA,REACTIVE_OXYGEN_SPECIES_PATHWAY,48,49,0.979591836734694
RNA,GLYCOLYSIS,166,200,0.83
Protein,TNFA_SIGNALING_VIA_NFKB,42,200,0.21
Protein,IL6_JAK_STAT3_SIGNALING,29,87,0.333333333333333
Protein,INFLAMMATORY_RESPONSE,56,200,0.28
Protein,INTERFERON_ALPHA_RESPONSE,36,97,0.371134020618557
Protein,INTERFERON_GAMMA_RESPONSE,80,200,0.4
Protein,COAGULATION,85,138,0.615942028985507
Protein,COMPLEMENT,97,200,0.485
Protein,HEME_METABOLISM,84,200,0.42
Protein,EPITHELIAL_MESENCHYMAL_TRANSITION,102,200,0.51
Protein,TGF_BETA_SIGNALING,20,54,0.37037037037037
Protein,APICAL_JUNCTION,85,200,0.425
Protein,HYPOXIA,72,200,0.36
Protein,OXIDATIVE_PHOSPHORYLATION,89,200,0.445
Protein,REACTIVE_OXYGEN_SPECIES_PATHWAY,23,49,0.469387755102041
Protein,GLYCOLYSIS,80,200,0.4
