Pathway,N,beta,SE,lower95,upper95,pval,Direction,FDR
APICAL_JUNCTION,147,-0.0042121356930439,0.135547359339362,-0.269884959998194,0.261460688612106,0.97525494346027,RNA D1 to Protein D3,0.97525494346027
COAGULATION,147,-0.083591867104499,0.0776191330526926,-0.235725367887777,0.0685416336787785,0.28339568074875,RNA D1 to Protein D3,0.708489201871875
COMPLEMENT,147,-0.192368358883061,0.147468276396879,-0.481406180620943,0.0966694628548219,0.194259588468379,RNA D1 to Protein D3,0.582778765405136
EPITHELIAL_MESENCHYMAL_TRANSITION,147,-0.0202575866093232,0.0907165549000228,-0.198062034213368,0.157546860994721,0.823629674915015,RNA D1 to Protein D3,0.885081280029537
GLYCOLYSIS,147,-0.0398811818628361,0.0726998176393663,-0.182372824435994,0.102610460710322,0.5841911500558,RNA D1 to Protein D3,0.86649405868148
HEME_METABOLISM,147,0.0691276315547998,0.0942147286130582,-0.115533236526794,0.253788499636394,0.464370592194735,RNA D1 to Protein D3,0.86649405868148
HYPOXIA,147,-0.123786416476107,0.0744217903525921,-0.269653125567188,0.0220802926149735,0.0985366164341729,RNA D1 to Protein D3,0.492683082170864
IL6_JAK_STAT3_SIGNALING,147,0.0543910422570257,0.114468689520854,-0.169967589203849,0.2787496737179,0.635428976366419,RNA D1 to Protein D3,0.86649405868148
INFLAMMATORY_RESPONSE,147,-0.0363800483437721,0.112241532448623,-0.256373451943073,0.183613355255529,0.746339326936376,RNA D1 to Protein D3,0.885081280029537
INTERFERON_ALPHA_RESPONSE,147,0.342874577606985,0.0790997516828292,0.187839064308639,0.49791009090533,2.80641328802381e-05,RNA D1 to Protein D3,0.000420961993203572
INTERFERON_GAMMA_RESPONSE,147,0.197416656137996,0.0972915874802094,0.00672514467678531,0.388108167599206,0.0443827029736252,RNA D1 to Protein D3,0.332870272302189
OXIDATIVE_PHOSPHORYLATION,147,-0.0685478616647214,0.0773852294318177,-0.220222911351084,0.0831271880216412,0.37727729613946,RNA D1 to Protein D3,0.808451348870272
REACTIVE_OXYGEN_SPECIES_PATHWAY,147,-0.0291170217161162,0.04933096543749,-0.125805713973597,0.0675716705413642,0.556003269627074,RNA D1 to Protein D3,0.86649405868148
TGF_BETA_SIGNALING,147,0.0361855857213168,0.164361922505187,-0.28596378238885,0.358334953831484,0.826075861360902,RNA D1 to Protein D3,0.885081280029537
TNFA_SIGNALING_VIA_NFKB,147,0.165332944971188,0.112973251167042,-0.0560946273162154,0.38676051725859,0.145629462721507,RNA D1 to Protein D3,0.546110485205652
APICAL_JUNCTION,111,0.292399830195305,0.173071666718835,-0.0468206365736109,0.631620296964222,0.0942136416009358,RNA D3 to Protein D5,0.258500138801582
COAGULATION,111,0.123525832270522,0.0708910572075969,-0.0154206398563677,0.262472304397412,0.0844693575969315,RNA D3 to Protein D5,0.258500138801582
COMPLEMENT,111,-0.0304552197471559,0.107442068901456,-0.241041674794009,0.180131235299698,0.777406654082709,RNA D3 to Protein D5,0.890045571710692
EPITHELIAL_MESENCHYMAL_TRANSITION,111,0.212407433429874,0.129245078395588,-0.040912920225479,0.465727787085227,0.103400055520633,RNA D3 to Protein D5,0.258500138801582
GLYCOLYSIS,111,0.0260852910419444,0.116355713169936,-0.20197190677113,0.254142488855019,0.823065665207028,RNA D3 to Protein D5,0.890045571710692
HEME_METABOLISM,111,0.115481931246322,0.102739533608644,-0.0858875546266191,0.316851417119264,0.263666336594744,RNA D3 to Protein D5,0.545335897559849
HYPOXIA,111,0.0885429158990286,0.107880836280067,-0.122903523209902,0.299989355007959,0.413723125145216,RNA D3 to Protein D5,0.620584687717824
IL6_JAK_STAT3_SIGNALING,111,-0.0750953480324241,0.113910001236299,-0.298358950455571,0.148168254390723,0.511234551627073,RNA D3 to Protein D5,0.697138024946009
INFLAMMATORY_RESPONSE,111,-0.0143378313384578,0.103450736274614,-0.2171012744367,0.188425611759785,0.890045571710692,RNA D3 to Protein D5,0.890045571710692
INTERFERON_ALPHA_RESPONSE,111,0.309641817962809,0.08600078057461,0.141080288036573,0.478203347889045,0.000494391659780151,RNA D3 to Protein D5,0.00741587489670227
INTERFERON_GAMMA_RESPONSE,111,0.279573526956649,0.0923450501255551,0.0985772287105611,0.460569825202737,0.00312956825333623,RNA D3 to Protein D5,0.0234717619000217
OXIDATIVE_PHOSPHORYLATION,111,-0.0769758195615814,0.091762044850972,-0.256829427469486,0.102877788346324,0.403527011271906,RNA D3 to Protein D5,0.620584687717824
REACTIVE_OXYGEN_SPECIES_PATHWAY,111,-0.014306612444269,0.0875284394142417,-0.185862353696183,0.157249128807645,0.870489955692082,RNA D3 to Protein D5,0.890045571710692
TGF_BETA_SIGNALING,111,-0.147257547746046,0.138682947790332,-0.419076125415096,0.124561029923004,0.29084581203192,RNA D3 to Protein D5,0.545335897559849
TNFA_SIGNALING_VIA_NFKB,111,0.223594759282748,0.118943079327514,-0.00953367619917955,0.456723194764676,0.0630109923687524,RNA D3 to Protein D5,0.258500138801582
