Pathway,N,beta,SE,lower95,upper95,pval,Direction,FDR
APICAL_JUNCTION,143,-0.0707588297828444,0.0556297341780843,-0.17979310877189,0.0382754492062009,0.205606662331944,Protein D1 to RNA D3,0.664056405238613
COAGULATION,143,-0.116415727758492,0.094746696370535,-0.30211925264474,0.0692877971277569,0.221352135079538,Protein D1 to RNA D3,0.664056405238613
COMPLEMENT,143,-0.0119559191663922,0.0752429699764009,-0.159432140320138,0.135520301987354,0.873990668044349,Protein D1 to RNA D3,0.996689935247386
EPITHELIAL_MESENCHYMAL_TRANSITION,143,-0.0535160701959357,0.0519086040626764,-0.155256934158781,0.04822479376691,0.30442734636978,Protein D1 to RNA D3,0.7048424625621
GLYCOLYSIS,143,0.103355178374652,0.061686824490799,-0.0175509976273135,0.224261354376618,0.0961891461109174,Protein D1 to RNA D3,0.664056405238613
HEME_METABOLISM,143,0.110757198520824,0.0516853293851815,0.00945395292586827,0.21206044411578,0.033940664092258,Protein D1 to RNA D3,0.50910996138387
HYPOXIA,143,0.000155037309249904,0.0701076891353538,-0.137256033396043,0.137566108014543,0.998238859762838,Protein D1 to RNA D3,0.998238859762838
IL6_JAK_STAT3_SIGNALING,143,-0.0331409336851401,0.0866594477910127,-0.202993451355525,0.136711583985245,0.702754916184495,Protein D1 to RNA D3,0.880452527904099
INFLAMMATORY_RESPONSE,143,-0.00711511763425002,0.0811265888139957,-0.166123231709681,0.151892996441181,0.930243939564227,Protein D1 to RNA D3,0.996689935247386
INTERFERON_ALPHA_RESPONSE,143,0.048796591389263,0.0694187988043211,-0.0872642542672063,0.184857437045732,0.483327643650008,Protein D1 to RNA D3,0.880452527904099
INTERFERON_GAMMA_RESPONSE,143,-0.0242974884795608,0.0638977210242248,-0.149537021687041,0.10094204472792,0.704362022323279,Protein D1 to RNA D3,0.880452527904099
OXIDATIVE_PHOSPHORYLATION,143,0.100222931277379,0.0745058635842329,-0.0458085613477179,0.246254423902475,0.180860008857932,Protein D1 to RNA D3,0.664056405238613
REACTIVE_OXYGEN_SPECIES_PATHWAY,143,-0.0287099280885247,0.058296466468362,-0.142971002366514,0.0855511461894647,0.623191036042576,Protein D1 to RNA D3,0.880452527904099
TGF_BETA_SIGNALING,143,0.0222055370759614,0.0537872481637117,-0.0832174693249136,0.127628543476836,0.680388488739129,Protein D1 to RNA D3,0.880452527904099
TNFA_SIGNALING_VIA_NFKB,143,-0.0705571572874161,0.0720062254854204,-0.21168935923884,0.0705750446640079,0.32892648252898,Protein D1 to RNA D3,0.7048424625621
APICAL_JUNCTION,112,0.0395471407580771,0.0593935373253204,-0.0768641923995509,0.155958473915705,0.50701052462715,Protein D3 to RNA D5,0.867664863161597
COAGULATION,112,0.133978971099665,0.0884596550457941,-0.0394019527900918,0.307359894989421,0.132972257053617,Protein D3 to RNA D5,0.664861285268086
COMPLEMENT,112,0.0651029349363813,0.0692668467048786,-0.0706600846051806,0.200865954477943,0.349496557558921,Protein D3 to RNA D5,0.753418175381303
EPITHELIAL_MESENCHYMAL_TRANSITION,112,0.00725930887626703,0.0490495787501484,-0.0888778654740237,0.103396483226558,0.882635408549153,Protein D3 to RNA D5,0.973379698168387
GLYCOLYSIS,112,0.140766923054744,0.0642797273767989,0.0147786573962184,0.26675518871327,0.0308092636486931,Protein D3 to RNA D5,0.231069477365198
HEME_METABOLISM,112,0.0212621629806188,0.0821952413875418,-0.139840510138963,0.182364836100201,0.796404393735293,Protein D3 to RNA D5,0.973379698168387
HYPOXIA,112,0.0854001261704872,0.0908016246488519,-0.0925710581412626,0.263371310482237,0.349176428899624,Protein D3 to RNA D5,0.753418175381303
IL6_JAK_STAT3_SIGNALING,112,0.0620937309423586,0.11138944335699,-0.156229578037341,0.280417039922058,0.578443242107731,Protein D3 to RNA D5,0.867664863161597
INFLAMMATORY_RESPONSE,112,0.0505903225159473,0.0842710732854512,-0.114580981123537,0.215761626155432,0.549618870271079,Protein D3 to RNA D5,0.867664863161597
INTERFERON_ALPHA_RESPONSE,112,-0.0102325519261069,0.088799508466934,-0.184279588521298,0.163814484669084,0.908487718290495,Protein D3 to RNA D5,0.973379698168387
INTERFERON_GAMMA_RESPONSE,112,-0.000745037865659693,0.0950026544356683,-0.18695024055957,0.18546016482825,0.993758144047932,Protein D3 to RNA D5,0.993758144047932
OXIDATIVE_PHOSPHORYLATION,112,0.0682281823766036,0.0674287409950966,-0.0639321499737856,0.200388514726993,0.31400114634508,Protein D3 to RNA D5,0.753418175381303
REACTIVE_OXYGEN_SPECIES_PATHWAY,112,0.0806121898312254,0.0861440985628538,-0.088230243351968,0.249454623014419,0.351595148511275,Protein D3 to RNA D5,0.753418175381303
TGF_BETA_SIGNALING,112,0.0168974270758508,0.0576749452324178,-0.0961454655796881,0.12994031973139,0.770135003833009,Protein D3 to RNA D5,0.973379698168387
TNFA_SIGNALING_VIA_NFKB,112,0.132983315616209,0.0578182436007663,0.0196595581587067,0.246307073073711,0.0234835287394693,Protein D3 to RNA D5,0.231069477365198
