Time,Pathway,N,partial_rho,pval,FDR
D1,APICAL_JUNCTION,168,0.219716948183093,0.00421443962885259,0.0105360990721315
D1,COAGULATION,168,0.0156736400402914,0.840190963242216,0.900204603473803
D1,COMPLEMENT,168,0.151925228157379,0.0493100590823241,0.0924563607793577
D1,EPITHELIAL_MESENCHYMAL_TRANSITION,168,0.14130066156782,0.0677043482993727,0.112840580498954
D1,GLYCOLYSIS,168,0.0799904839517921,0.302678235765169,0.412743048770685
D1,HEME_METABOLISM,168,0.0702061641720785,0.365837201125943,0.457296501407428
D1,HYPOXIA,168,0.285977495558334,0.000171409821380111,0.000857049106900555
D1,IL6_JAK_STAT3_SIGNALING,168,0.157720906454209,0.0411682408407343,0.0882176589444306
D1,INFLAMMATORY_RESPONSE,168,0.253025647774611,0.000935906903994464,0.00280772071198339
D1,INTERFERON_ALPHA_RESPONSE,168,0.516496170802942,7.69747623951991e-13,1.15462143592799e-11
D1,INTERFERON_GAMMA_RESPONSE,168,0.492301112061591,1.22085219663988e-11,9.15639147479913e-11
D1,OXIDATIVE_PHOSPHORYLATION,168,-0.0527482650928068,0.497097252982093,0.573573753440877
D1,REACTIVE_OXYGEN_SPECIES_PATHWAY,168,-0.000566913510257592,0.994180937212083,0.994180937212083
D1,TGF_BETA_SIGNALING,168,0.137261402807234,0.0760241754061523,0.114036263109228
D1,TNFA_SIGNALING_VIA_NFKB,168,0.259545153142574,0.000680334167788002,0.00255125312920501
D3,APICAL_JUNCTION,144,0.0673539104573587,0.422486944549612,0.81351811131353
D3,COAGULATION,144,-0.0297082228116711,0.723736356837464,0.835080411735536
D3,COMPLEMENT,144,0.0582348685796962,0.488110866788118,0.81351811131353
D3,EPITHELIAL_MESENCHYMAL_TRANSITION,144,0.0616751065026927,0.462735164781674,0.81351811131353
D3,GLYCOLYSIS,144,0.0420906679527369,0.616435845503123,0.835080411735536
D3,HEME_METABOLISM,144,0.0112129250060285,0.893887654468419,0.893887654468419
D3,HYPOXIA,144,0.0782252230528093,0.351362091063452,0.81351811131353
D3,IL6_JAK_STAT3_SIGNALING,144,0.204276183586528,0.0140530476138728,0.0702652380693641
D3,INFLAMMATORY_RESPONSE,144,0.173434611365646,0.0376304006000686,0.12815622776743
D3,INTERFERON_ALPHA_RESPONSE,144,0.325817860300619,6.74694522891746e-05,0.00050602089216881
D3,INTERFERON_GAMMA_RESPONSE,144,0.332027168234065,4.79194023420831e-05,0.00050602089216881
D3,OXIDATIVE_PHOSPHORYLATION,144,-0.0397516276826622,0.636178108880777,0.835080411735536
D3,REACTIVE_OXYGEN_SPECIES_PATHWAY,144,0.0152680652680653,0.855872668013425,0.893887654468419
D3,TGF_BETA_SIGNALING,144,0.0351257937464834,0.675972767138684,0.835080411735536
D3,TNFA_SIGNALING_VIA_NFKB,144,0.169126276022828,0.0427187425891434,0.12815622776743
D5,APICAL_JUNCTION,109,0.00971179686776017,0.920163688775489,0.920163688775489
D5,COAGULATION,109,0.0812714298952831,0.400848208609891,0.751590391143546
D5,COMPLEMENT,109,-0.144972662403855,0.132564052350883,0.497115196315811
D5,EPITHELIAL_MESENCHYMAL_TRANSITION,109,0.114512093411176,0.235755440319162,0.589388600797905
D5,GLYCOLYSIS,109,0.0119358724863312,0.901963069381393,0.920163688775489
D5,HEME_METABOLISM,109,0.0418682235195997,0.665547179830686,0.907564336132754
D5,HYPOXIA,109,0.097377444166435,0.313778183836067,0.672381822505857
D5,IL6_JAK_STAT3_SIGNALING,109,-0.06007784264665,0.534888671016263,0.802333006524394
D5,INFLAMMATORY_RESPONSE,109,0.0139004726160689,0.885927699632059,0.920163688775489
D5,INTERFERON_ALPHA_RESPONSE,109,0.393939393939394,2.25395018491826e-05,0.000321892615067764
D5,INTERFERON_GAMMA_RESPONSE,109,0.291085163562228,0.00213510883517342,0.0106755441758671
D5,OXIDATIVE_PHOSPHORYLATION,109,-0.0671578166991011,0.487777118743973,0.802333006524394
D5,REACTIVE_OXYGEN_SPECIES_PATHWAY,109,-0.128829580205727,0.181848645030303,0.545545935090908
D5,TGF_BETA_SIGNALING,109,0.0321286257066074,0.740152662869945,0.920163688775489
D5,TNFA_SIGNALING_VIA_NFKB,109,0.381345565749235,4.29190153423685e-05,0.000321892615067764
