pathway	NES_unweighted	FDR_unweighted	leadingEdge_unweighted	NES_weighted	FDR_weighted	leadingEdge_weighted	delta_NES	direction_agreement	FDR_class	leading_edge_jaccard	scenario
ADIPOGENESIS	-0.842850732348807	0.924298752933932	NDUFAB1;MRPL15;ATP5PO;DLAT;ECHS1;AK2;NDUFS3;SLC66A3;ACAA2;DBT;DNAJB9;HADH;ATP1B3;MAP4K3;ENPP2;PDCD4;IMMT;SCP2;PHYH;EPHX2;ANGPT1;JAGN1;ESYT1;PTCD3;DNAJC15;ACADM;SLC25A10;NDUFA5;REEP5;SSPN	0.862511270445129	0.801243252085719	BCL6;GADD45A;PFKFB3;POR;RTN3;ACOX1;ITGA7;SQOR;CCNG2;STOM;PGM1;ELMOD3;GPAT4;LPCAT3;IFNGR1;TOB1;PPARG;DHRS7B;DHCR7;PPM1B;ORM1;TALDO1;TKT;GRPEL1;ALDOA;STAT5A;GBE1;CDKN2C;NABP1;BAZ2A;DHRS7;CHUK;CD151;PIM3;ITSN1	1.70536200279394	FALSE	neither	0	entry4_SOFA_D3
ALLOGRAFT_REJECTION	-1.48616253396557	0.00941629553128753	HLA-DRA;NPM1;ABCE1;RPS3A;LY75;HLA-DMB;HLA-DMA;ITK;CD3D;SIT1;TRAT1;CD3G;EIF3A;CD86;DARS1;RPL9;CTSS;CD28;UBE2N;RPL39;CCND2;CD4;IL7;ETS1;HLA-DOA;LY86;CD40LG;RPS19;EIF3D;HDAC9;CD8B;TNF;LCK;IRF8;IRF4;CD74;RIPK2;HLA-DQA1;CCR2;FCGR2B;MRPL3;CD2;STAT4;ZAP70;CD8A;NME1;CD3E;CD79A;IL15	-1.61636819079774	0.00206294708610198	RPS3A;HLA-DRA;ABCE1;NPM1;HLA-DMB;CD3D;EIF3A;ITK;HLA-DMA;SIT1;RPL9;LY75;TRAT1;CD3G;DARS1;HLA-DOA;RPL39;CTSS;ETS1;CD28;CD86;UBE2N;CD4;CD40LG;EIF3D;IL7;LY86;CD8B;LCK;CD74;RPS19;IRF4;CCND2;HLA-DQA1;TNF;IRF8;CD8A;CD2;FCGR2B;STAT4;ZAP70;CCR2;CD3E;IL15;CD79A;CCR5;HDAC9;CXCR3;CD40;NME1;CD247;MRPL3	-0.130205656832175	TRUE	both	0.905660377358491	entry4_SOFA_D3
ANDROGEN_RESPONSE	1.35359925996968	0.102575207983686	FKBP5;NDRG1;CAMKK2;GSR;CCND3;HPGD;PTK2B;SLC38A2;HERC3;ACTN1;MAK;RPS6KA3;IQGAP2;ACSL3;IDI1;MERTK;MYL12A;ARID5B	1.57560681019126	0.01396289104962	NDRG1;CCND3;CAMKK2;GSR;ACTN1;FKBP5;HPGD;PTK2B;IDI1;SLC38A2;HERC3;MYL12A;RPS6KA3;ACSL3;MERTK;UBE2J1;MAK;IQGAP2;VAPA;B4GALT1;ARID5B;GNAI3;SRF;PIAS1	0.222007550221578	TRUE	IPW_only	0.75	entry4_SOFA_D3
ANGIOGENESIS	0.587533439159886	0.969400462551148	LRPAP1;JAG1;FGFR1;PGLYRP1;APP;S100A4;TIMP1;FSTL1;VEGFA;PF4	0.826699601996034	0.767961110621702	LRPAP1;PGLYRP1;JAG1;FGFR1;APP;S100A4;TIMP1;FSTL1;VEGFA;PF4	0.239166162836148	TRUE	neither	1	entry4_SOFA_D3
APICAL_JUNCTION	1.56856372937783	0.00941629553128753	MAPK14;SIRPA;ADAM9;PIK3CB;SKAP2;MMP9;CAP1;ALOX15B;ACTN1;MAPK13;PTEN;NF1;ITGA10;THBS3;RAC2;VASP;SYK;CD274;MAP3K20;IKBKG;ZYX;PTPRC;ACTB;CNN2;PCDH1;B4GALT1;COL17A1;MYH9;FYB1;RASA1;ICAM5;PBX2;INPPL1;ARPC2;CTNNA1;STX4;CLDN15;NECTIN2;CLDN9;ACTN4;MSN;GNAI2;SHC1;ICAM1;YWHAH;TUBG1;TAOK2;VCL;MPZL1;KCNH2;MYH10;PARD6G;BAIAP2	1.50909596490436	0.01396289104962	MAPK14;SIRPA;ADAM9;MMP9;ACTN1;SKAP2;CAP1;PIK3CB;ALOX15B;PTEN;SYK;VASP;RAC2;MAPK13;COL17A1;NF1;CNN2;CD274;ACTB;B4GALT1;IKBKG;MAP3K20;THBS3;ZYX;MYH9;ICAM5;ARPC2;MSN;ITGA10;ICAM1;CTNNA1;RASA1;FYB1;PTPRC;PBX2;GNAI2;INPPL1;ACTN4;NECTIN2;SHC1;PCDH1;YWHAH;MYH10;VCL;RSU1;CLDN15;PFN1;STX4;TAOK2;TUBG1;MYL12B;BAIAP2;MPZL1;PARD6G	-0.0594677644734671	TRUE	both	0.910714285714286	entry4_SOFA_D3
APICAL_SURFACE	1.09325902396773	0.443269155742821	FLOT2;LYN;PCSK9;CRYBG1;NCOA6;B4GALT1;DCBLD2;SLC2A4;BRCA1;ADIPOR2;APP;HSPB1;IL2RG	0.994015574682677	0.580749955337414	FLOT2;LYN;PCSK9;CRYBG1;B4GALT1;NCOA6;APP;IL2RG;DCBLD2;BRCA1;ADIPOR2	-0.099243449285053	TRUE	neither	0.846153846153846	entry4_SOFA_D3
APOPTOSIS	1.13350390309143	0.312393095941533	GADD45A;CFLAR;GSR;RNASEL;HGF;IGF2R;ADD1;TIMP2;GSN;RARA;PSEN1;CREBBP;FAS;ROCK1;CCNA1;IFITM3;EMP1;CD44;HMGB2;CASP4;NEDD9;DPYD;IFNGR1;PPP2R5B;CTNNB1;CLU;CDKN1B;XIAP;CASP2;TSPO;DNAJC3;GADD45B;TNFSF10;IER3;TXNIP;BCAP31;PPP3R1;IRF1;ANXA1;TAP1;GNA15;BRCA1;GPX3;F2R;APP;BCL2L1;CASP8;DNAJA1;CTH;TIMP1;CASP9;CASP1;PLCB2;HSPB1	1.32660269960569	0.0755572034771145	GADD45A;CFLAR;GSR;TIMP2;ADD1;HGF;GSN;RARA;IGF2R;RNASEL;PSEN1;CCNA1;IFNGR1;CD44;IFITM3;FAS;CREBBP;ROCK1;HMGB2;PPP2R5B;TSPO;GADD45B;CDKN1B;CTNNB1;IER3;CLU;EMP1;CASP2;NEDD9;CASP4;XIAP;DNAJC3;DPYD;BCAP31;TAP1;IRF1;PPP3R1;GNA15;CASP9;GPX3;ANXA1;TNFSF10;TXNIP;APP	0.193098796514263	TRUE	neither	0.814814814814815	entry4_SOFA_D3
BILE_ACID_METABOLISM	-1.08165512420141	0.43187874998139	ABCD2;CYP27A1;NR3C2;HACL1;PAOX;SLC23A2;PEX12;EFHC1;LCK;SCP2;SLC35B2;PHYH;EPHX2;IDH2;HSD17B4;PEX7;ACSL5;SOD1;SLC29A1;TFCP2L1;ABCD3;PXMP2;AMACR	-0.918232284369322	0.697996112648681	ABCD2;CYP27A1;SLC23A2;PEX12;PAOX;LCK;NR3C2;EFHC1;SLC35B2;EPHX2;PHYH;IDH2;SCP2;PEX7;HSD17B4;ACSL5;HACL1	0.163422839832088	TRUE	neither	0.739130434782609	entry4_SOFA_D3
CHOLESTEROL_HOMEOSTASIS	1.57291832423411	0.0233813743764083	PLSCR1;ABCA2;NFIL3;NIBAN1;PDK3;ALCAM;LDLR;IDI1;ANTXR2;PPARG;S100A11;PNRC1;CHKA;ACSS2;DHCR7;CTNNB1;CLU;JAG1;FBXO6	1.85758767810138	0.00129144576674667	NFIL3;PLSCR1;NIBAN1;IDI1;PDK3;ALCAM;ABCA2;LDLR;CHKA;ANTXR2;PPARG;DHCR7;PNRC1;ACSS2;JAG1;CTNNB1;S100A11;CLU;FBXO6	0.284669353867272	TRUE	both	1	entry4_SOFA_D3
COAGULATION	1.27021708704192	0.159524045923193	ADAM9;MMP9;KLF7;FURIN;RAC1;GSN;SERPINA1;RABIF;CTSK;WDR1;HPN;F2RL2;SERPINE1;F12;C1R;CLU;LAMP2;MMP8;GNB2;THBS1;ANXA1;F8;FN1;PLAU;GP1BA;ITGB3;TIMP1;CASP9;P2RY1;CTSB;CFB;PEF1;SERPINB2;PLEK;CPQ;ISCU;SPARC;VWF;MST1;PF4	1.41483160140496	0.0542513546083714	ADAM9;MMP9;FURIN;SERPINA1;KLF7;GSN;RAC1;WDR1;RABIF;SERPINE1;F12;MMP8;F2RL2;CTSK;CLU;GNB2;LAMP2;THBS1;C1R;HPN;F8;CASP9;ANXA1;PLEK;PLAU;GP1BA;ITGB3;MSRB2;TIMP1;PEF1;P2RY1;CTSB;SPARC;CFB;CPQ;PF4;VWF;FN1;SERPINB2;ISCU;ARF4	0.14461451436304	TRUE	neither	0.928571428571429	entry4_SOFA_D3
