pathway	analysis	gene_symbol
ADIPOGENESIS	entry4_SOFA_D3__all_valid	BCL6
ADIPOGENESIS	entry4_SOFA_D3__all_valid	GADD45A
ADIPOGENESIS	entry4_SOFA_D3__all_valid	PFKFB3
ADIPOGENESIS	entry4_SOFA_D3__all_valid	POR
ADIPOGENESIS	entry4_SOFA_D3__all_valid	RTN3
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ACOX1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ITGA7
ADIPOGENESIS	entry4_SOFA_D3__all_valid	SQOR
ADIPOGENESIS	entry4_SOFA_D3__all_valid	CCNG2
ADIPOGENESIS	entry4_SOFA_D3__all_valid	STOM
ADIPOGENESIS	entry4_SOFA_D3__all_valid	PGM1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ELMOD3
ADIPOGENESIS	entry4_SOFA_D3__all_valid	GPAT4
ADIPOGENESIS	entry4_SOFA_D3__all_valid	LPCAT3
ADIPOGENESIS	entry4_SOFA_D3__all_valid	IFNGR1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	TOB1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	PPARG
ADIPOGENESIS	entry4_SOFA_D3__all_valid	DHRS7B
ADIPOGENESIS	entry4_SOFA_D3__all_valid	DHCR7
ADIPOGENESIS	entry4_SOFA_D3__all_valid	PPM1B
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ORM1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	TALDO1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	TKT
ADIPOGENESIS	entry4_SOFA_D3__all_valid	GRPEL1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ALDOA
ADIPOGENESIS	entry4_SOFA_D3__all_valid	STAT5A
ADIPOGENESIS	entry4_SOFA_D3__all_valid	GBE1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	CDKN2C
ADIPOGENESIS	entry4_SOFA_D3__all_valid	NABP1
ADIPOGENESIS	entry4_SOFA_D3__all_valid	BAZ2A
ADIPOGENESIS	entry4_SOFA_D3__all_valid	DHRS7
ADIPOGENESIS	entry4_SOFA_D3__all_valid	CHUK
ADIPOGENESIS	entry4_SOFA_D3__all_valid	CD151
ADIPOGENESIS	entry4_SOFA_D3__all_valid	PIM3
ADIPOGENESIS	entry4_SOFA_D3__all_valid	ITSN1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	RPS3A
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HLA-DRA
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	ABCE1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	NPM1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HLA-DMB
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD3D
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	EIF3A
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	ITK
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HLA-DMA
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	SIT1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	RPL9
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	LY75
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	TRAT1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD3G
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	DARS1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HLA-DOA
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	RPL39
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CTSS
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	ETS1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD28
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD86
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	UBE2N
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD4
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD40LG
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	EIF3D
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	IL7
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	LY86
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD8B
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	LCK
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD74
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	RPS19
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	IRF4
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CCND2
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HLA-DQA1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	TNF
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	IRF8
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD8A
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD2
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	FCGR2B
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	STAT4
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	ZAP70
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CCR2
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD3E
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	IL15
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD79A
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CCR5
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	HDAC9
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CXCR3
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD40
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	NME1
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	CD247
ALLOGRAFT_REJECTION	entry4_SOFA_D3__all_valid	MRPL3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	NDRG1
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	CCND3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	CAMKK2
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	GSR
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	ACTN1
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	FKBP5
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	HPGD
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	PTK2B
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	IDI1
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	SLC38A2
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	HERC3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	MYL12A
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	RPS6KA3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	ACSL3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	MERTK
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	UBE2J1
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	MAK
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	IQGAP2
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	VAPA
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	B4GALT1
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	ARID5B
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	GNAI3
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	SRF
ANDROGEN_RESPONSE	entry4_SOFA_D3__all_valid	PIAS1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	LRPAP1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	PGLYRP1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	JAG1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	FGFR1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	APP
ANGIOGENESIS	entry4_SOFA_D3__all_valid	S100A4
ANGIOGENESIS	entry4_SOFA_D3__all_valid	TIMP1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	FSTL1
ANGIOGENESIS	entry4_SOFA_D3__all_valid	VEGFA
ANGIOGENESIS	entry4_SOFA_D3__all_valid	PF4
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MAPK14
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	SIRPA
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ADAM9
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MMP9
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ACTN1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	SKAP2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	CAP1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PIK3CB
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ALOX15B
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PTEN
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	SYK
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	VASP
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	RAC2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MAPK13
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	COL17A1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	NF1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	CNN2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	CD274
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ACTB
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	B4GALT1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	IKBKG
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MAP3K20
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	THBS3
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ZYX
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MYH9
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ICAM5
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ARPC2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MSN
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ITGA10
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ICAM1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	CTNNA1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	RASA1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	FYB1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PTPRC
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PBX2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	GNAI2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	INPPL1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	ACTN4
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	NECTIN2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	SHC1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PCDH1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	YWHAH
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MYH10
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	VCL
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	RSU1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	CLDN15
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PFN1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	STX4
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	TAOK2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	TUBG1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MYL12B
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	BAIAP2
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	MPZL1
APICAL_JUNCTION	entry4_SOFA_D3__all_valid	PARD6G
APICAL_SURFACE	entry4_SOFA_D3__all_valid	FLOT2
APICAL_SURFACE	entry4_SOFA_D3__all_valid	LYN
APICAL_SURFACE	entry4_SOFA_D3__all_valid	PCSK9
APICAL_SURFACE	entry4_SOFA_D3__all_valid	CRYBG1
APICAL_SURFACE	entry4_SOFA_D3__all_valid	B4GALT1
APICAL_SURFACE	entry4_SOFA_D3__all_valid	NCOA6
APICAL_SURFACE	entry4_SOFA_D3__all_valid	APP
APICAL_SURFACE	entry4_SOFA_D3__all_valid	IL2RG
APICAL_SURFACE	entry4_SOFA_D3__all_valid	DCBLD2
APICAL_SURFACE	entry4_SOFA_D3__all_valid	BRCA1
APICAL_SURFACE	entry4_SOFA_D3__all_valid	ADIPOR2
APOPTOSIS	entry4_SOFA_D3__all_valid	GADD45A
APOPTOSIS	entry4_SOFA_D3__all_valid	CFLAR
APOPTOSIS	entry4_SOFA_D3__all_valid	GSR
APOPTOSIS	entry4_SOFA_D3__all_valid	TIMP2
APOPTOSIS	entry4_SOFA_D3__all_valid	ADD1
APOPTOSIS	entry4_SOFA_D3__all_valid	HGF
APOPTOSIS	entry4_SOFA_D3__all_valid	GSN
APOPTOSIS	entry4_SOFA_D3__all_valid	RARA
APOPTOSIS	entry4_SOFA_D3__all_valid	IGF2R
APOPTOSIS	entry4_SOFA_D3__all_valid	RNASEL
APOPTOSIS	entry4_SOFA_D3__all_valid	PSEN1
APOPTOSIS	entry4_SOFA_D3__all_valid	CCNA1
APOPTOSIS	entry4_SOFA_D3__all_valid	IFNGR1
APOPTOSIS	entry4_SOFA_D3__all_valid	CD44
APOPTOSIS	entry4_SOFA_D3__all_valid	IFITM3
APOPTOSIS	entry4_SOFA_D3__all_valid	FAS
APOPTOSIS	entry4_SOFA_D3__all_valid	CREBBP
APOPTOSIS	entry4_SOFA_D3__all_valid	ROCK1
