pathway,NES_primary,padj_primary,NES_adjusted,padj_adjusted,direction_agreement,primary_FDR05,adjusted_FDR05
ADIPOGENESIS,1.10226266179174,0.337224853719699,1.01161005748374,0.583928792378124,TRUE,FALSE,FALSE
ALLOGRAFT_REJECTION,-1.76834911563908,0.00010897988164343,-1.2278454242235,0.131277434394404,TRUE,TRUE,FALSE
ANDROGEN_RESPONSE,1.29966924397529,0.123194281767126,1.04510374127102,0.516686460807601,TRUE,FALSE,FALSE
ANGIOGENESIS,1.72199327790482,0.0118560285904478,1.69017823658814,0.024245720068124,TRUE,TRUE,TRUE
APICAL_JUNCTION,1.96860528766253,8.57753611105146e-06,1.91796797685142,2.75763467986669e-05,TRUE,TRUE,TRUE
APICAL_SURFACE,1.2148349760734,0.275420663626356,1.38773269491993,0.140289961013645,TRUE,FALSE,FALSE
APOPTOSIS,1.56749862006043,0.00428106592450078,1.52714142354201,0.0133256267503816,TRUE,TRUE,TRUE
BILE_ACID_METABOLISM,0.871438737619582,0.729292848997013,0.687123385583399,0.997804911510495,TRUE,FALSE,FALSE
CHOLESTEROL_HOMEOSTASIS,2.30710345829649,1.95880633802997e-07,1.7922688681554,0.00212523991708238,TRUE,TRUE,TRUE
COAGULATION,1.91605637474588,0.000120658432740832,1.77592688947038,0.00182928912365103,TRUE,TRUE,TRUE
COMPLEMENT,1.01743790624149,0.48756808385876,0.890168541394055,0.843567251461989,TRUE,FALSE,FALSE
DNA_REPAIR,-0.883161486997475,0.802202770952771,-0.968564731332909,0.699903859359978,TRUE,FALSE,FALSE
E2F_TARGETS,1.4247806616449,0.01443545837677,-1.3508967065296,0.0375753608065846,FALSE,TRUE,TRUE
EPITHELIAL_MESENCHYMAL_TRANSITION,2.03158575723909,5.17633018259502e-06,1.81295955486015,0.000389169324728078,TRUE,TRUE,TRUE
ESTROGEN_RESPONSE_EARLY,1.64510120587975,0.00168689090090685,1.71725045254239,0.000843105377064089,TRUE,TRUE,TRUE
ESTROGEN_RESPONSE_LATE,1.59813491066229,0.00312349612270903,1.28448701537263,0.131945393268661,TRUE,TRUE,FALSE
FATTY_ACID_METABOLISM,0.933535013177016,0.673976251721994,-0.814502899638196,0.997804911510495,FALSE,FALSE,FALSE
G2M_CHECKPOINT,2.04455033068174,1.28809027784063e-07,0.959315537738781,0.699903859359978,TRUE,TRUE,FALSE
GLYCOLYSIS,1.6113128219595,0.00257088861118883,1.30339690969636,0.105202997332882,TRUE,TRUE,FALSE
HEDGEHOG_SIGNALING,1.68251493647152,0.0155941473903937,1.7947377305422,0.00935541415853527,TRUE,TRUE,TRUE
