pathway,NES_primary,padj_primary,NES_adjusted,padj_adjusted,direction_agreement,primary_FDR05,adjusted_FDR05
APICAL_JUNCTION,1.96860528766253,8.57753611105146e-06,1.91796797685142,2.75763467986669e-05,TRUE,TRUE,TRUE
COAGULATION,1.91605637474588,0.000120658432740832,1.77592688947038,0.00182928912365103,TRUE,TRUE,TRUE
COMPLEMENT,1.01743790624149,0.48756808385876,0.890168541394055,0.843567251461989,TRUE,FALSE,FALSE
EPITHELIAL_MESENCHYMAL_TRANSITION,2.03158575723909,5.17633018259502e-06,1.81295955486015,0.000389169324728078,TRUE,TRUE,TRUE
GLYCOLYSIS,1.6113128219595,0.00257088861118883,1.30339690969636,0.105202997332882,TRUE,TRUE,FALSE
HEME_METABOLISM,2.69219704949971,2.94867102507752e-20,2.60630014558545,2.91864935371805e-17,TRUE,TRUE,TRUE
HYPOXIA,2.42919445372891,1.80315812213284e-12,2.1086253387152,9.47826712219595e-08,TRUE,TRUE,TRUE
IL6_JAK_STAT3_SIGNALING,1.40715872966855,0.0620957485465116,1.26452249099701,0.17652297105849,TRUE,FALSE,FALSE
INFLAMMATORY_RESPONSE,1.43927200728457,0.0195802631267938,1.13109337072367,0.303011401189689,TRUE,TRUE,FALSE
INTERFERON_ALPHA_RESPONSE,0.706478988183397,0.95772289660946,0.936094222717883,0.713739669421488,TRUE,FALSE,FALSE
INTERFERON_GAMMA_RESPONSE,-1.04906164042861,0.389562206282464,0.656913541965782,0.997804911510495,FALSE,FALSE,FALSE
OXIDATIVE_PHOSPHORYLATION,-1.69225185401553,0.00011475989138866,-2.24612610672922,5.3733625289609e-10,TRUE,TRUE,TRUE
REACTIVE_OXYGEN_SPECIES_PATHWAY,1.96501149954453,0.000298779414260625,1.45826369312873,0.0752102460128218,TRUE,TRUE,FALSE
TGF_BETA_SIGNALING,1.53857561295416,0.0259649626897009,1.25170977250858,0.211397636249411,TRUE,TRUE,FALSE
TNFA_SIGNALING_VIA_NFKB,2.06317725724089,1.40025395566932e-07,1.94489332722641,3.23000019841994e-06,TRUE,TRUE,TRUE
