variable,type,measured_N,unmeasured_N,measured_summary,unmeasured_summary,SMD,absolute_SMD
age,continuous,168,336,"71.000 [61.000, 80.000]","67.000 [56.000, 77.000]",0.251298955568854,0.251298955568854
baseline_SOFA,continuous,168,336,"9.500 [7.000, 12.000]","10.000 [7.000, 12.000]",-0.0831340460950675,0.0831340460950675
log2_lactate,continuous,168,336,"1.433 [0.848, 2.495]","1.485 [0.746, 2.322]",0.0352637091502288,0.0352637091502288
platelet_count,continuous,168,336,"88.500 [58.750, 134.000]","89.500 [55.750, 132.000]",0.0365442437851216,0.0365442437851216
PaO2_FiO2_ratio,continuous,168,336,"245.530 [164.948, 332.944]","240.000 [169.750, 324.682]",0.00473742287008532,0.00473742287008532
male_sex,binary,168,336,107/168 (63.7%),191/336 (56.8%),0.139886140939904,0.139886140939904
mortality_60d,binary,168,336,27/168 (16.1%),57/336 (17.0%),-0.0240440891941668,0.0240440891941668
infection_source__Abdomen,binary indicator,168,336,21/168 (12.5%),69/336 (20.5%),-0.216396802747501,0.216396802747501
infection_source__Biliary_Liver,binary indicator,168,336,20/168 (11.9%),46/336 (13.7%),-0.0534543696297181,0.0534543696297181
infection_source__Lung_Chest,binary indicator,168,336,70/168 (41.7%),124/336 (36.9%),0.0975029898836174,0.0975029898836174
infection_source__Others_Unknown,binary indicator,168,336,18/168 (10.7%),18/336 (5.4%),0.197065855632859,0.197065855632859
infection_source__SoftTissue,binary indicator,168,336,9/168 (5.4%),16/336 (4.8%),0.027158776019568,0.027158776019568
infection_source__Urinary,binary indicator,168,336,30/168 (17.9%),63/336 (18.8%),-0.0230893933506104,0.0230893933506104
