Time,Pathway,N,estimate_type,estimate,pval,FDR,label,Direction,SE,lower95,upper95
D1,INTERFERON_ALPHA_RESPONSE,168,Adjusted partial Spearman ρ,0.516496170802942,7.69747623951991e-13,1.1546214359279899e-11,IFN-α response | same-time D1,,,,
D1,INTERFERON_GAMMA_RESPONSE,168,Adjusted partial Spearman ρ,0.492301112061591,1.22085219663988e-11,9.156391474799129e-11,IFN-γ response | same-time D1,,,,
D3,INTERFERON_ALPHA_RESPONSE,144,Adjusted partial Spearman ρ,0.325817860300619,6.74694522891746e-05,0.0005060208921688,IFN-α response | same-time D3,,,,
D3,INTERFERON_GAMMA_RESPONSE,144,Adjusted partial Spearman ρ,0.332027168234065,4.79194023420831e-05,0.0005060208921688,IFN-γ response | same-time D3,,,,
D5,INTERFERON_ALPHA_RESPONSE,109,Adjusted partial Spearman ρ,0.393939393939394,2.25395018491826e-05,0.0003218926150677,IFN-α response | same-time D5,,,,
D5,INTERFERON_GAMMA_RESPONSE,109,Adjusted partial Spearman ρ,0.291085163562228,0.0021351088351734,0.0106755441758671,IFN-γ response | same-time D5,,,,
,INTERFERON_ALPHA_RESPONSE,147,Adjusted β (95% CI),0.342874577606985,2.80641328802381e-05,0.0004209619932035,IFN-α response | D1 to D3,RNA D1 to Protein D3,0.0790997516828292,0.187839064308639,0.49791009090533
,INTERFERON_GAMMA_RESPONSE,147,Adjusted β (95% CI),0.197416656137996,0.0443827029736252,0.332870272302189,IFN-γ response | D1 to D3,RNA D1 to Protein D3,0.0972915874802094,0.0067251446767853,0.388108167599206
,INTERFERON_ALPHA_RESPONSE,111,Adjusted β (95% CI),0.309641817962809,0.0004943916597801,0.0074158748967022,IFN-α response | D3 to D5,RNA D3 to Protein D5,0.08600078057461,0.141080288036573,0.478203347889045
,INTERFERON_GAMMA_RESPONSE,111,Adjusted β (95% CI),0.279573526956649,0.0031295682533362,0.0234717619000217,IFN-γ response | D3 to D5,RNA D3 to Protein D5,0.0923450501255551,0.0985772287105611,0.460569825202737
