analysis	interval	centre_adjustment	Pathway	N	estimate	lower95	upper95	pval	FDR	variance
Forward linear model	D1 to D3	With centre	APICAL_JUNCTION	147	-0.00421213569304311	-0.269884959998194	0.261460688612107	0.975254943460275	0.975254943460275	HC3
Forward linear model	D1 to D3	Without centre	APICAL_JUNCTION	147	0.00878818427586913	-0.253356434930354	0.270932803482093	0.947704517508694	0.947704517508694	HC3
Forward linear model	D1 to D3	With centre	COAGULATION	147	-0.0835918671044992	-0.235725367887777	0.0685416336787784	0.283395680748749	0.708489201871873	HC3
Forward linear model	D1 to D3	Without centre	COAGULATION	147	-0.0848400405779573	-0.235304012856185	0.0656239317002707	0.270986738644075	0.580685868523019	HC3
Forward linear model	D1 to D3	With centre	COMPLEMENT	147	-0.19236835888306	-0.481406180620942	0.0966694628548225	0.19425958846838	0.58277876540514	HC3
Forward linear model	D1 to D3	Without centre	COMPLEMENT	147	-0.184723981222521	-0.456788537558822	0.0873405751137803	0.185423634972164	0.463559087430411	HC3
Forward linear model	D1 to D3	With centre	EPITHELIAL_MESENCHYMAL_TRANSITION	147	-0.0202575866093231	-0.198062034213368	0.157546860994721	0.823629674915015	0.885081280029534	HC3
Forward linear model	D1 to D3	Without centre	EPITHELIAL_MESENCHYMAL_TRANSITION	147	-0.037480128709576	-0.210454938710353	0.135494681291201	0.671713035324523	0.811122095313576	HC3
Forward linear model	D1 to D3	With centre	GLYCOLYSIS	147	-0.039881181862836	-0.182372824435994	0.102610460710322	0.584191150055801	0.866494058681483	HC3
Forward linear model	D1 to D3	Without centre	GLYCOLYSIS	147	-0.0212347020685926	-0.161466464779184	0.118997060641999	0.767063274897326	0.821853508818563	HC3
Forward linear model	D1 to D3	With centre	HEME_METABOLISM	147	0.0691276315547999	-0.115533236526794	0.253788499636394	0.464370592194735	0.866494058681483	HC3
Forward linear model	D1 to D3	Without centre	HEME_METABOLISM	147	0.0613438516035922	-0.126102241892145	0.24878994509933	0.522290692699488	0.791140104558705	HC3
Forward linear model	D1 to D3	With centre	HYPOXIA	147	-0.123786416476107	-0.269653125567188	0.0220802926149733	0.0985366164341724	0.492683082170862	HC3
Forward linear model	D1 to D3	Without centre	HYPOXIA	147	-0.111246755770616	-0.25547249597194	0.0329789844307085	0.132833158894818	0.398499476684454	HC3
Forward linear model	D1 to D3	With centre	IL6_JAK_STAT3_SIGNALING	147	0.0543910422570253	-0.169967589203849	0.2787496737179	0.635428976366421	0.866494058681483	HC3
Forward linear model	D1 to D3	Without centre	IL6_JAK_STAT3_SIGNALING	147	0.0449152437791709	-0.171619504607518	0.26144999216586	0.684953665407533	0.811122095313576	HC3
Forward linear model	D1 to D3	With centre	INFLAMMATORY_RESPONSE	147	-0.0363800483437721	-0.256373451943073	0.183613355255529	0.746339326936376	0.885081280029534	HC3
Forward linear model	D1 to D3	Without centre	INFLAMMATORY_RESPONSE	147	-0.0413044307270216	-0.25318188128157	0.170573019827527	0.702972482605099	0.811122095313576	HC3
Forward linear model	D1 to D3	With centre	INTERFERON_ALPHA_RESPONSE	147	0.342874577606985	0.18783906430864	0.49791009090533	2.80641328802375e-05	0.000420961993203562	HC3
Forward linear model	D1 to D3	Without centre	INTERFERON_ALPHA_RESPONSE	147	0.349410704191694	0.196881494721689	0.501939913661699	1.47666114078563e-05	0.000221499171117845	HC3
Forward linear model	D1 to D3	With centre	INTERFERON_GAMMA_RESPONSE	147	0.197416656137995	0.00672514467678528	0.388108167599206	0.0443827029736252	0.332870272302189	HC3
Forward linear model	D1 to D3	Without centre	INTERFERON_GAMMA_RESPONSE	147	0.192319437057116	0.023202479921216	0.361436394193017	0.0274137873555685	0.205603405166764	HC3
Forward linear model	D1 to D3	With centre	OXIDATIVE_PHOSPHORYLATION	147	-0.0685478616647215	-0.220222911351084	0.0831271880216411	0.377277296139459	0.80845134887027	HC3
Forward linear model	D1 to D3	Without centre	OXIDATIVE_PHOSPHORYLATION	147	-0.115411684934047	-0.255570311887697	0.0247469420196026	0.108793246528663	0.398499476684454	HC3
Forward linear model	D1 to D3	With centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	147	-0.0291170217161159	-0.125805713973596	0.0675716705413645	0.556003269627078	0.866494058681483	HC3
Forward linear model	D1 to D3	Without centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	147	-0.0397047535619456	-0.130145618582407	0.0507361114585154	0.391003226348141	0.733131049402765	HC3
Forward linear model	D1 to D3	With centre	TGF_BETA_SIGNALING	147	0.0361855857213174	-0.285963782388849	0.358334953831484	0.826075861360899	0.885081280029534	HC3
Forward linear model	D1 to D3	Without centre	TGF_BETA_SIGNALING	147	0.106510169791941	-0.223012857513185	0.436033197097067	0.52742673637247	0.791140104558705	HC3
Forward linear model	D1 to D3	With centre	TNFA_SIGNALING_VIA_NFKB	147	0.165332944971187	-0.0560946273162158	0.38676051725859	0.145629462721508	0.546110485205656	HC3
Forward linear model	D1 to D3	Without centre	TNFA_SIGNALING_VIA_NFKB	147	0.185354728006155	-0.0257222108418106	0.396431666854121	0.0874324774225553	0.398499476684454	HC3
Forward linear model	D3 to D5	With centre	APICAL_JUNCTION	111	0.292399830195307	-0.04682063657361	0.631620296964224	0.0942136416009347	0.25850013880158	HC3
Forward linear model	D3 to D5	Without centre	APICAL_JUNCTION	111	0.249865298609353	-0.0616845424517856	0.561415139670492	0.119003182643601	0.255006819950574	HC3
Forward linear model	D3 to D5	With centre	COAGULATION	111	0.123525832270522	-0.015420639856368	0.262472304397411	0.0844693575969321	0.25850013880158	HC3
Forward linear model	D3 to D5	Without centre	COAGULATION	111	0.148590745346276	0.0238873411922274	0.273294149500325	0.0214396156613435	0.107198078306718	HC3
Forward linear model	D3 to D5	With centre	COMPLEMENT	111	-0.0304552197471559	-0.24104167479401	0.180131235299698	0.777406654082709	0.890045571710693	HC3
Forward linear model	D3 to D5	Without centre	COMPLEMENT	111	-0.0194684765717951	-0.243704838725171	0.20476788558158	0.86520734860971	0.927007873510403	HC3
Forward linear model	D3 to D5	With centre	EPITHELIAL_MESENCHYMAL_TRANSITION	111	0.212407433429874	-0.0409129202254785	0.465727787085227	0.103400055520632	0.25850013880158	HC3
Forward linear model	D3 to D5	Without centre	EPITHELIAL_MESENCHYMAL_TRANSITION	111	0.216699801039334	-0.00206843830802336	0.435468040386691	0.0549074248706238	0.164722274611872	HC3
Forward linear model	D3 to D5	With centre	GLYCOLYSIS	111	0.0260852910419449	-0.20197190677113	0.254142488855019	0.823065665207025	0.890045571710693	HC3
Forward linear model	D3 to D5	Without centre	GLYCOLYSIS	111	0.109283754045615	-0.140656399849329	0.359223907940559	0.393420989546335	0.536483167563184	HC3
Forward linear model	D3 to D5	With centre	HEME_METABOLISM	111	0.115481931246322	-0.085887554626619	0.316851417119264	0.263666336594744	0.545335897559847	HC3
Forward linear model	D3 to D5	Without centre	HEME_METABOLISM	111	0.165709003544875	-0.0381715520074467	0.369589559097196	0.114186361941782	0.255006819950574	HC3
Forward linear model	D3 to D5	With centre	HYPOXIA	111	0.0885429158990289	-0.122903523209901	0.299989355007959	0.413723125145214	0.620584687717821	HC3
Forward linear model	D3 to D5	Without centre	HYPOXIA	111	0.128770366956591	-0.0866091936819294	0.344149927595111	0.243939718484698	0.406566197474497	HC3
Forward linear model	D3 to D5	With centre	IL6_JAK_STAT3_SIGNALING	111	-0.0750953480324241	-0.29835895045557	0.148168254390722	0.511234551627072	0.697138024946008	HC3
Forward linear model	D3 to D5	Without centre	IL6_JAK_STAT3_SIGNALING	111	-0.0634691682031478	-0.294287358449573	0.167349022043277	0.591072880660916	0.738841100826145	HC3
Forward linear model	D3 to D5	With centre	INFLAMMATORY_RESPONSE	111	-0.0143378313384577	-0.2171012744367	0.188425611759785	0.890045571710693	0.890045571710693	HC3
Forward linear model	D3 to D5	Without centre	INFLAMMATORY_RESPONSE	111	0.00635071726138852	-0.195328550789352	0.208029985312129	0.950905211136229	0.950905211136229	HC3
Forward linear model	D3 to D5	With centre	INTERFERON_ALPHA_RESPONSE	111	0.309641817962809	0.141080288036573	0.478203347889044	0.000494391659780161	0.00741587489670242	HC3
Forward linear model	D3 to D5	Without centre	INTERFERON_ALPHA_RESPONSE	111	0.321901582664349	0.152012959333604	0.491790205995095	0.000330401437067606	0.00495602155601408	HC3
Forward linear model	D3 to D5	With centre	INTERFERON_GAMMA_RESPONSE	111	0.279573526956649	0.098577228710561	0.460569825202737	0.00312956825333624	0.0234717619000218	HC3
Forward linear model	D3 to D5	Without centre	INTERFERON_GAMMA_RESPONSE	111	0.287048063733438	0.108001133153911	0.466094994312966	0.00218414873641428	0.0163811155231071	HC3
Forward linear model	D3 to D5	With centre	OXIDATIVE_PHOSPHORYLATION	111	-0.076975819561581	-0.256829427469486	0.102877788346324	0.403527011271909	0.620584687717821	HC3
Forward linear model	D3 to D5	Without centre	OXIDATIVE_PHOSPHORYLATION	111	-0.105375061654956	-0.273494231026	0.0627441077160881	0.222030495092014	0.406566197474497	HC3
Forward linear model	D3 to D5	With centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	111	-0.0143066124442688	-0.185862353696182	0.157249128807645	0.870489955692083	0.890045571710693	HC3
Forward linear model	D3 to D5	Without centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	111	0.0181901830358093	-0.136152610448377	0.172532976519996	0.817770779996316	0.927007873510403	HC3
Forward linear model	D3 to D5	With centre	TGF_BETA_SIGNALING	111	-0.147257547746047	-0.419076125415096	0.124561029923003	0.290845812031918	0.545335897559847	HC3
Forward linear model	D3 to D5	Without centre	TGF_BETA_SIGNALING	111	-0.121688242138852	-0.372874178277486	0.129497693999782	0.344551700432587	0.516827550648881	HC3
Forward linear model	D3 to D5	With centre	TNFA_SIGNALING_VIA_NFKB	111	0.223594759282748	-0.0095336761991795	0.456723194764676	0.0630109923687523	0.25850013880158	HC3
Forward linear model	D3 to D5	Without centre	TNFA_SIGNALING_VIA_NFKB	111	0.241105192109287	0.00492777039773501	0.477282613820838	0.0480093144725319	0.164722274611872	HC3
Same-time partial Spearman	D1	With centre	APICAL_JUNCTION	168	0.219716948183093			0.00421443962885259	0.0105360990721315	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	APICAL_JUNCTION	168	0.317382985508274			2.76577961352436e-05	0.000138288980676218	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	COAGULATION	168	0.0156736400402914			0.840190963242216	0.900204603473803	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	COAGULATION	168	0.00539580180298743			0.944658549814982	0.944658549814982	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	COMPLEMENT	168	0.151925228157379			0.0493100590823241	0.0924563607793577	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	COMPLEMENT	168	0.138607822394096			0.0731636322039332	0.1097454483059	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	EPITHELIAL_MESENCHYMAL_TRANSITION	168	0.14130066156782			0.0677043482993727	0.112840580498954	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	EPITHELIAL_MESENCHYMAL_TRANSITION	168	0.13002313209591			0.0929867662304809	0.126800135768838	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	GLYCOLYSIS	168	0.0799904839517921			0.302678235765169	0.412743048770685	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	GLYCOLYSIS	168	0.140614797454963			0.0690622761965856	0.1097454483059	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	HEME_METABOLISM	168	0.0702061641720785			0.365837201125943	0.457296501407428	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	HEME_METABOLISM	168	0.0722966577411534			0.351701033385926	0.405808884676069	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	HYPOXIA	168	0.285977495558334			0.000171409821380111	0.000857049106900555	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	HYPOXIA	168	0.306619221405034			5.29130227903284e-05	0.000198423835463732	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	IL6_JAK_STAT3_SIGNALING	168	0.157720906454209			0.0411682408407343	0.0882176589444306	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	IL6_JAK_STAT3_SIGNALING	168	0.179018126047145			0.0202434599898091	0.0433788428353053	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	INFLAMMATORY_RESPONSE	168	0.253025647774611			0.000935906903994464	0.00280772071198339	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	INFLAMMATORY_RESPONSE	168	0.279012558146598			0.00024984402562634	0.00074953207687902	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	INTERFERON_ALPHA_RESPONSE	168	0.516496170802942			7.69747623951991e-13	1.15462143592799e-11	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	INTERFERON_ALPHA_RESPONSE	168	0.538059131103811			5.41630865917877e-14	8.12446298876815e-13	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	INTERFERON_GAMMA_RESPONSE	168	0.492301112061591			1.22085219663988e-11	9.15639147479913e-11	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	INTERFERON_GAMMA_RESPONSE	168	0.467875744706698			1.60920799022658e-10	1.20690599266994e-09	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	OXIDATIVE_PHOSPHORYLATION	168	-0.0527482650928068			0.497097252982093	0.573573753440877	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	OXIDATIVE_PHOSPHORYLATION	168	-0.0968460374264152			0.211725818787731	0.264657273484664	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	168	-0.000566913510257592			0.994180937212083	0.994180937212083	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	168	-0.030291909840505			0.696694714313492	0.746458622478741	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	TGF_BETA_SIGNALING	168	0.137261402807234			0.0760241754061523	0.114036263109228	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	TGF_BETA_SIGNALING	168	0.15340072180238			0.0471197996528157	0.0883496243490295	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	With centre	TNFA_SIGNALING_VIA_NFKB	168	0.259545153142574			0.000680334167788002	0.00255125312920501	Spearman test; confidence interval not estimated
Same-time partial Spearman	D1	Without centre	TNFA_SIGNALING_VIA_NFKB	168	0.241644352883413			0.00160177548867105	0.00400443872167762	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	APICAL_JUNCTION	144	0.0673539104573587			0.422486944549612	0.81351811131353	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	APICAL_JUNCTION	144	0.132867132867133			0.112386610932944	0.187311018221574	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	COAGULATION	144	-0.0297082228116711			0.723736356837464	0.835080411735536	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	COAGULATION	144	-0.0305240736275219			0.71646955060232	0.826695635310369	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	COMPLEMENT	144	0.0582348685796962			0.488110866788118	0.81351811131353	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	COMPLEMENT	144	0.062519090105297			0.456622931386842	0.570778664233552	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	EPITHELIAL_MESENCHYMAL_TRANSITION	144	0.0616751065026927			0.462735164781674	0.81351811131353	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	EPITHELIAL_MESENCHYMAL_TRANSITION	144	0.0639257294429708			0.446536369057453	0.570778664233552	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	GLYCOLYSIS	144	0.0420906679527369			0.616435845503123	0.835080411735536	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	GLYCOLYSIS	144	0.139896310585966			0.0944535407424728	0.177100388892137	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	HEME_METABOLISM	144	0.0112129250060285			0.893887654468419	0.893887654468419	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	HEME_METABOLISM	144	0.0209549071618037			0.803132838053571	0.860499469343111	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	HYPOXIA	144	0.0782252230528093			0.351362091063452	0.81351811131353	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	HYPOXIA	144	0.152431476569408			0.0681657766008761	0.17041444150219	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	IL6_JAK_STAT3_SIGNALING	144	0.204276183586528			0.0140530476138728	0.0702652380693641	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	IL6_JAK_STAT3_SIGNALING	144	0.175825898239691			0.0350333393394033	0.164738472276907	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	INFLAMMATORY_RESPONSE	144	0.173434611365646			0.0376304006000686	0.12815622776743	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	INFLAMMATORY_RESPONSE	144	0.166658628727594			0.0458840237954445	0.164738472276907	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	INTERFERON_ALPHA_RESPONSE	144	0.325817860300619			6.74694522891746e-05	0.00050602089216881	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	INTERFERON_ALPHA_RESPONSE	144	0.337605497950326			3.50162213913737e-05	0.000262621660435303	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	INTERFERON_GAMMA_RESPONSE	144	0.332027168234065			4.79194023420831e-05	0.00050602089216881	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	INTERFERON_GAMMA_RESPONSE	144	0.341102001446829			2.86768514346298e-05	0.000262621660435303	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	OXIDATIVE_PHOSPHORYLATION	144	-0.0397516276826622			0.636178108880777	0.835080411735536	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	OXIDATIVE_PHOSPHORYLATION	144	-0.1418535487501			0.0898869601894697	0.177100388892137	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	144	0.0152680652680653			0.855872668013425	0.893887654468419	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	144	-0.0046017201189615			0.956345874469865	0.956345874469865	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	TGF_BETA_SIGNALING	144	0.0351257937464834			0.675972767138684	0.835080411735536	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	TGF_BETA_SIGNALING	144	0.121200064303513			0.147878655532258	0.221817983298387	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	With centre	TNFA_SIGNALING_VIA_NFKB	144	0.169126276022828			0.0427187425891434	0.12815622776743	Spearman test; confidence interval not estimated
Same-time partial Spearman	D3	Without centre	TNFA_SIGNALING_VIA_NFKB	144	0.160324732738526			0.0549128240923023	0.164738472276907	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	APICAL_JUNCTION	109	0.00971179686776017			0.920163688775489	0.920163688775489	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	APICAL_JUNCTION	109	0.0299138170697804			0.757490433265932	0.785229289674663	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	COAGULATION	109	0.0812714298952831			0.400848208609891	0.751590391143546	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	COAGULATION	109	0.0892781021221388			0.355908180257006	0.581864158401733	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	COMPLEMENT	109	-0.144972662403855			0.132564052350883	0.497115196315811	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	COMPLEMENT	109	-0.144991196367343			0.132514023943285	0.314851722949566	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	EPITHELIAL_MESENCHYMAL_TRANSITION	109	0.114512093411176			0.235755440319162	0.589388600797905	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	EPITHELIAL_MESENCHYMAL_TRANSITION	109	0.143286071726439			0.137177276286326	0.314851722949566	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	GLYCOLYSIS	109	0.0119358724863312			0.901963069381393	0.920163688775489	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	GLYCOLYSIS	109	0.0797423779075155			0.409797301892378	0.581864158401733	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	HEME_METABOLISM	109	0.0418682235195997			0.665547179830686	0.907564336132754	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	HEME_METABOLISM	109	0.0347233805949402			0.720005535953354	0.785229289674663	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	HYPOXIA	109	0.097377444166435			0.313778183836067	0.672381822505857	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	HYPOXIA	109	0.139857288481142			0.146930804043131	0.314851722949566	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	IL6_JAK_STAT3_SIGNALING	109	-0.06007784264665			0.534888671016263	0.802333006524394	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	IL6_JAK_STAT3_SIGNALING	109	-0.026401630988787			0.785229289674663	0.785229289674663	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	INFLAMMATORY_RESPONSE	109	0.0139004726160689			0.885927699632059	0.920163688775489	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	INFLAMMATORY_RESPONSE	109	0.0281345565749235			0.771506818223251	0.785229289674663	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	INTERFERON_ALPHA_RESPONSE	109	0.393939393939394			2.25395018491826e-05	0.000321892615067764	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	INTERFERON_ALPHA_RESPONSE	109	0.368306922435363			8.13627900242994e-05	0.000610220925182245	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	INTERFERON_GAMMA_RESPONSE	109	0.291085163562228			0.00213510883517342	0.0106755441758671	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	INTERFERON_GAMMA_RESPONSE	109	0.294968028912983			0.00184796836907123	0.00923984184535615	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	OXIDATIVE_PHOSPHORYLATION	109	-0.0671578166991011			0.487777118743973	0.802333006524394	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	OXIDATIVE_PHOSPHORYLATION	109	-0.169604299879529			0.0778830299613811	0.292061362355179	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	109	-0.128829580205727			0.181848645030303	0.545545935090908	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	REACTIVE_OXYGEN_SPECIES_PATHWAY	109	-0.0902974701139839			0.350420495324023	0.581864158401733	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	TGF_BETA_SIGNALING	109	0.0321286257066074			0.740152662869945	0.920163688775489	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	TGF_BETA_SIGNALING	109	0.0769066814938375			0.426700382827938	0.581864158401733	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	With centre	TNFA_SIGNALING_VIA_NFKB	109	0.381345565749235			4.29190153423685e-05	0.000321892615067764	Spearman test; confidence interval not estimated
Same-time partial Spearman	D5	Without centre	TNFA_SIGNALING_VIA_NFKB	109	0.371420628301362			7.00102577348366e-05	0.000610220925182245	Spearman test; confidence interval not estimated
