variable	label	level	type	unit	Overall	Survivor	Death	N_overall	N_survivor	N_death	Missing_overall	Missing_survivor	Missing_death	count_overall	count_survivor	count_death	mean_survivor	mean_death	variance_survivor	variance_death	SMD	P_value_existing
age	Age		continuous	years	68.00 [58.00, 78.00]	67.00 [56.00, 77.00]	72.00 [63.75, 81.00]	504	420	84	0	0	0				65.9428571428571	70.6547619047619	230.641118308899	229.62636259323	0.310603507475632	0.00457628381438523
height	Height		continuous	cm	166.00 [159.00, 170.00]	165.50 [159.00, 170.00]	167.50 [158.75, 171.00]	504	420	84	0	0	0				164.942857142857	165.261904761905	61.801022843505	63.1594951233506	0.0403630612960953	0.655181407976048
weight	Weight		continuous	kg	63.00 [55.00, 70.00]	63.00 [55.00, 70.00]	64.50 [55.00, 70.00]	504	420	84	0	0	0				63.46	62.5	129.804219570406	112.512048192771	-0.0872157551126116	0.750927036803204
BMI	Body mass index		continuous	kg/m^2	23.24 [20.81, 25.02]	23.28 [20.94, 25.08]	23.08 [20.76, 24.76]	504	420	84	0	0	0				23.2528189003502	22.8937213289107	11.4005015384597	13.6282882722871	-0.101509699066159	0.408050262006564
hrmax	Maximum heart rate		continuous	beats/min	119.00 [103.00, 135.00]	118.00 [102.00, 134.00]	121.00 [108.00, 139.25]	504	420	84	0	0	0				119.3	126.559523809524	589.551789976134	887.261474469306	0.26715317476891	0.0494158161552679
mapmax	Maximum mean arterial pressure		continuous	mmHg	94.85 [84.00, 106.00]	95.00 [85.00, 107.00]	92.00 [82.00, 102.25]	504	420	84	0	0	0				96.2005634920635	91.6336507936508	290.937960461353	231.727719041244	-0.282504724905215	0.0450275518396871
sapmax	Maximum systolic arterial pressure		continuous	mmHg	141.00 [126.00, 156.25]	141.00 [126.00, 156.00]	138.00 [125.25, 159.00]	504	420	84	0	0	0				141.721428571429	140.928571428571	574.082117286055	584.645438898451	-0.0329396722276706	0.887406169355804
rrmax	Maximum respiratory rate		continuous	breaths/min	26.00 [22.00, 32.00]	26.00 [23.00, 32.00]	26.00 [22.00, 32.00]	504	420	84	0	0	0				27.5857142857143	26.8571428571429	48.2050460279577	51.7865748709122	-0.103039876542489	0.347340788124143
tmax	Maximum temperature		continuous	degrees C	37.70 [37.00, 38.50]	37.70 [37.00, 38.50]	37.60 [36.77, 38.42]	504	420	84	0	0	0				37.8242857142857	37.7285714285714	1.16442072962837	1.43459552495697	-0.0839628675980573	0.366405578095009
lac	Lactate		continuous	mmol/L	2.80 [1.70, 5.20]	2.67 [1.61, 4.90]	3.88 [1.90, 6.90]	504	420	84	0	0	0				3.6937380952381	5.30119047619048	9.93227071883168	20.6629310958118	0.410985455707079	0.00386771257369802
k	Potassium		continuous	mmol/L	3.80 [3.35, 4.21]	3.80 [3.32, 4.20]	3.92 [3.43, 4.44]	504	420	84	0	0	0				3.80947619047619	4.04690476190476	0.529364402773043	0.697855364314401	0.303100607137377	0.0436666526170113
na	Sodium		continuous	mmol/L	137.05 [133.50, 142.00]	137.00 [133.00, 141.10]	138.45 [135.00, 145.10]	504	420	84	0	0	0				137.573333333333	140.922619047619	45.881291964996	123.7796026965	0.363643909762385	0.0315618258893905
cl	Chloride		continuous	mmol/L	107.00 [102.00, 112.00]	107.20 [102.00, 112.00]	106.05 [100.75, 112.70]	504	420	84	0	0	0				107.140714285714	107.696428571429	58.7107250255711	133.839384681584	0.0566362739718982	0.588776383510642
bun	Blood urea nitrogen		continuous	mg/dL	11.89 [8.10, 18.20]	11.26 [7.88, 16.52]	18.20 [9.80, 25.36]	504	420	84	0	0	0				13.565630952381	18.3623214285714	74.6675448873452	89.0337912327883	0.530188838461832	1.14473968408512e-05
alb	Albumin		continuous	g/L	28.25 [24.80, 31.63]	28.40 [25.00, 31.90]	27.25 [24.15, 29.75]	504	420	84	0	0	0				28.3403333333333	27.0995238095238	31.918719220366	22.5432118187034	-0.237779055764818	0.0375897661111178
